ModelGeography,Year,AIR
INDIA,2016,50707758000.00001
INDIA,2017,55351710000.00001
INDIA,2018,60937540000.00001
INDIA,2019,64370276000.00001
INDIA,2020,60981552000
INDIA,2021,7840052000.000001
INDIA,2022,21951112000.000004
INDIA,2023,22987278000
INDIA,2024,24072354000
INDIA,2025,25334693250
INDIA,2026,26551005034.574738
INDIA,2027,27829007892.996914
INDIA,2028,29172507330.991856
INDIA,2029,30585676695.50694
INDIA,2030,32073113794.147945
INDIA,2031,33639908107.455215
INDIA,2032,35291716753.82912
INDIA,2033,37034870108.96407
INDIA,2034,38876475905.94449
INDIA,2035,40824568287.02031
INDIA,2036,42888265977.637764
INDIA,2037,45077973718.7522
INDIA,2038,47405625841.44192
INDIA,2039,49884972142.88389
INDIA,2040,52531926428.076614
INDIA,2041,55364983800.00001
