ModelGeography,SubGeography1,SubGeography2,Year,4W+IPT3W+IPT4W+2W+BUS+RAIL
INDIA,ER,WB,2029,11873.028502662848
INDIA,ER,WB,2030,11643.59
INDIA,ER,WB,2031,11321.348589558313
INDIA,ER,WB,2032,11009.024081974698
INDIA,ER,WB,2033,10704.975766437748
INDIA,ER,WB,2034,10410.351756691589
INDIA,ER,WB,2035,10122.236493139742
INDIA,ER,WB,2036,9843.116247569047
INDIA,ER,WB,2037,9571.455005133177
INDIA,ER,WB,2038,9307.070173909668
INDIA,ER,WB,2039,9049.78330421651
INDIA,ER,WB,2040,8800.65
INDIA,ER,WB,2041,8557.021016892106
INDIA,NER,AS,2014,13453.125
INDIA,NER,AS,2015,13360.627477968035
INDIA,NER,AS,2016,13268.76592650663
INDIA,NER,AS,2017,13177.5359729736
INDIA,NER,AS,2018,13086.933274791047
INDIA,NER,AS,2019,12996.95351923865
INDIA,NER,AS,2020,13453.125
INDIA,NER,AS,2021,13360.627477968035
INDIA,NER,AS,2022,13268.76592650663
INDIA,NER,AS,2023,13177.5359729736
INDIA,NER,AS,2024,13086.933274791047
INDIA,NER,AS,2025,12835.048612541848
INDIA,NER,AS,2026,12587.484131151812
INDIA,NER,AS,2027,12344.182188336934
INDIA,NER,AS,2028,12106.540738160988
INDIA,NER,AS,2029,11873.028502662848
INDIA,NER,AS,2030,11643.59
INDIA,NER,AS,2031,11321.348589558313
INDIA,NER,AS,2032,11009.024081974698
INDIA,NER,AS,2033,10704.975766437748
INDIA,NER,AS,2034,10410.351756691589
INDIA,NER,AS,2035,10122.236493139742
INDIA,NER,AS,2036,9843.116247569047
INDIA,NER,AS,2037,9571.455005133177
INDIA,NER,AS,2038,9307.070173909668
INDIA,NER,AS,2039,9049.78330421651
INDIA,NER,AS,2040,8800.65
INDIA,NER,AS,2041,8557.021016892106
INDIA,NER,NE,2014,13453.125
INDIA,NER,NE,2015,13360.627477968035
INDIA,NER,NE,2016,13268.76592650663
INDIA,NER,NE,2017,13177.5359729736
INDIA,NER,NE,2018,13086.933274791047
INDIA,NER,NE,2019,12996.95351923865
INDIA,NER,NE,2020,13453.125
INDIA,NER,NE,2021,13360.627477968035
INDIA,NER,NE,2022,13268.76592650663
INDIA,NER,NE,2023,13177.5359729736
INDIA,NER,NE,2024,13086.933274791047
INDIA,NER,NE,2025,12835.048612541848
INDIA,NER,NE,2026,12587.484131151812
INDIA,NER,NE,2027,12344.182188336934
INDIA,NER,NE,2028,12106.540738160988
INDIA,NER,NE,2029,11873.028502662848
INDIA,NER,NE,2030,11643.59
INDIA,NER,NE,2031,11321.348589558313
INDIA,NER,NE,2032,11009.024081974698
INDIA,NER,NE,2033,10704.975766437748
INDIA,NER,NE,2034,10410.351756691589
INDIA,NER,NE,2035,10122.236493139742
INDIA,NER,NE,2036,9843.116247569047
INDIA,NER,NE,2037,9571.455005133177
INDIA,NER,NE,2038,9307.070173909668
INDIA,NER,NE,2039,9049.78330421651
INDIA,NER,NE,2040,8800.65
INDIA,NER,NE,2041,8557.021016892106
INDIA,NR,DL,2014,13453.125
INDIA,NR,DL,2015,13360.627477968035
INDIA,NR,DL,2016,13268.76592650663
INDIA,NR,DL,2017,13177.5359729736
INDIA,NR,DL,2018,13086.933274791047
INDIA,NR,DL,2019,12996.95351923865
INDIA,NR,DL,2020,13453.125
INDIA,NR,DL,2021,13360.627477968035
INDIA,NR,DL,2022,13268.76592650663
INDIA,NR,DL,2023,13177.5359729736
INDIA,NR,DL,2024,13086.933274791047
INDIA,NR,DL,2025,12835.048612541848
INDIA,NR,DL,2026,12587.484131151812
INDIA,NR,DL,2027,12344.182188336934
INDIA,NR,DL,2028,12106.540738160988
INDIA,NR,DL,2029,11873.028502662848
INDIA,NR,DL,2030,11643.59
INDIA,NR,DL,2031,11321.348589558313
INDIA,NR,DL,2032,11009.024081974698
INDIA,NR,DL,2033,10704.975766437748
INDIA,NR,DL,2034,10410.351756691589
INDIA,NR,DL,2035,10122.236493139742
INDIA,NR,DL,2036,9843.116247569047
INDIA,NR,DL,2037,9571.455005133177
INDIA,NR,DL,2038,9307.070173909668
INDIA,NR,DL,2039,9049.78330421651
INDIA,NR,DL,2040,8800.65
INDIA,NR,DL,2041,8557.021016892106
INDIA,NR,HP,2014,13453.125
INDIA,NR,HP,2015,13360.627477968035
INDIA,NR,HP,2016,13268.76592650663
INDIA,NR,HP,2017,13177.5359729736
INDIA,NR,HP,2018,13086.933274791047
INDIA,NR,HP,2019,12996.95351923865
INDIA,NR,HP,2020,13453.125
INDIA,NR,HP,2021,13360.627477968035
INDIA,NR,HP,2022,13268.76592650663
INDIA,NR,HP,2023,13177.5359729736
INDIA,NR,HP,2024,13086.933274791047
INDIA,NR,HP,2025,12835.048612541848
INDIA,NR,HP,2026,12587.484131151812
INDIA,NR,HP,2027,12344.182188336934
INDIA,NR,HP,2028,12106.540738160988
INDIA,NR,HP,2029,11873.028502662848
INDIA,NR,HP,2030,11643.59
INDIA,NR,HP,2031,11321.348589558313
INDIA,NR,HP,2032,11009.024081974698
INDIA,NR,HP,2033,10704.975766437748
INDIA,NR,HP,2034,10410.351756691589
INDIA,NR,HP,2035,10122.236493139742
INDIA,NR,HP,2036,9843.116247569047
INDIA,NR,HP,2037,9571.455005133177
INDIA,NR,HP,2038,9307.070173909668
INDIA,NR,HP,2039,9049.78330421651
INDIA,NR,HP,2040,8800.65
INDIA,NR,HP,2041,8557.021016892106
INDIA,NR,HR,2014,13453.125
INDIA,NR,HR,2015,13360.627477968035
INDIA,NR,HR,2016,13268.76592650663
INDIA,NR,HR,2017,13177.5359729736
INDIA,NR,HR,2018,13086.933274791047
INDIA,NR,HR,2019,12996.95351923865
INDIA,NR,HR,2020,13453.125
INDIA,NR,HR,2021,13360.627477968035
INDIA,NR,HR,2022,13268.76592650663
INDIA,NR,HR,2023,13177.5359729736
INDIA,NR,HR,2024,13086.933274791047
INDIA,NR,HR,2025,12835.048612541848
INDIA,NR,HR,2026,12587.484131151812
INDIA,NR,HR,2027,12344.182188336934
INDIA,NR,HR,2028,12106.540738160988
INDIA,NR,HR,2029,11873.028502662848
INDIA,NR,HR,2030,11643.59
INDIA,NR,HR,2031,11321.348589558313
INDIA,NR,HR,2032,11009.024081974698
INDIA,NR,HR,2033,10704.975766437748
INDIA,NR,HR,2034,10410.351756691589
INDIA,NR,HR,2035,10122.236493139742
INDIA,NR,HR,2036,9843.116247569047
INDIA,NR,HR,2037,9571.455005133177
INDIA,NR,HR,2038,9307.070173909668
INDIA,NR,HR,2039,9049.78330421651
INDIA,NR,HR,2040,8800.65
INDIA,NR,HR,2041,8557.021016892106
INDIA,NR,JK,2014,13453.125
INDIA,NR,JK,2015,13360.627477968035
INDIA,NR,JK,2016,13268.76592650663
INDIA,NR,JK,2017,13177.5359729736
INDIA,NR,JK,2018,13086.933274791047
INDIA,NR,JK,2019,12996.95351923865
INDIA,NR,JK,2020,13453.125
INDIA,NR,JK,2021,13360.627477968035
INDIA,NR,JK,2022,13268.76592650663
INDIA,NR,JK,2023,13177.5359729736
INDIA,NR,JK,2024,13086.933274791047
INDIA,NR,JK,2025,12835.048612541848
INDIA,NR,JK,2026,12587.484131151812
INDIA,NR,JK,2027,12344.182188336934
INDIA,NR,JK,2028,12106.540738160988
INDIA,NR,JK,2029,11873.028502662848
INDIA,NR,JK,2030,11643.59
INDIA,NR,JK,2031,11321.348589558313
INDIA,NR,JK,2032,11009.024081974698
INDIA,NR,JK,2033,10704.975766437748
INDIA,NR,JK,2034,10410.351756691589
INDIA,NR,JK,2035,10122.236493139742
INDIA,NR,JK,2036,9843.116247569047
INDIA,NR,JK,2037,9571.455005133177
INDIA,NR,JK,2038,9307.070173909668
INDIA,NR,JK,2039,9049.78330421651
INDIA,NR,JK,2040,8800.65
INDIA,NR,JK,2041,8557.021016892106
INDIA,NR,PB,2014,13453.125
INDIA,NR,PB,2015,13360.627477968035
INDIA,NR,PB,2016,13268.76592650663
INDIA,NR,PB,2017,13177.5359729736
INDIA,NR,PB,2018,13086.933274791047
INDIA,NR,PB,2019,12996.95351923865
INDIA,NR,PB,2020,13453.125
INDIA,NR,PB,2021,13360.627477968035
INDIA,NR,PB,2022,13268.76592650663
INDIA,NR,PB,2023,13177.5359729736
INDIA,NR,PB,2024,13086.933274791047
INDIA,NR,PB,2025,12835.048612541848
INDIA,NR,PB,2026,12587.484131151812
INDIA,NR,PB,2027,12344.182188336934
INDIA,NR,PB,2028,12106.540738160988
INDIA,NR,PB,2029,11873.028502662848
INDIA,NR,PB,2030,11643.59
INDIA,NR,PB,2031,11321.348589558313
INDIA,NR,PB,2032,11009.024081974698
INDIA,NR,PB,2033,10704.975766437748
INDIA,NR,PB,2034,10410.351756691589
INDIA,NR,PB,2035,10122.236493139742
INDIA,NR,PB,2036,9843.116247569047
INDIA,NR,PB,2037,9571.455005133177
INDIA,NR,PB,2038,9307.070173909668
INDIA,NR,PB,2039,9049.78330421651
INDIA,NR,PB,2040,8800.65
INDIA,NR,PB,2041,8557.021016892106
INDIA,NR,RJ,2014,13453.125
INDIA,NR,RJ,2015,13360.627477968035
INDIA,NR,RJ,2016,13268.76592650663
INDIA,NR,RJ,2017,13177.5359729736
INDIA,NR,RJ,2018,13086.933274791047
INDIA,NR,RJ,2019,12996.95351923865
INDIA,NR,RJ,2020,13453.125
INDIA,NR,RJ,2021,13360.627477968035
INDIA,NR,RJ,2022,13268.76592650663
INDIA,NR,RJ,2023,13177.5359729736
INDIA,NR,RJ,2024,13086.933274791047
INDIA,NR,RJ,2025,12835.048612541848
INDIA,NR,RJ,2026,12587.484131151812
INDIA,NR,RJ,2027,12344.182188336934
INDIA,NR,RJ,2028,12106.540738160988
INDIA,NR,RJ,2029,11873.028502662848
INDIA,NR,RJ,2030,11643.59
INDIA,NR,RJ,2031,11321.348589558313
INDIA,NR,RJ,2032,11009.024081974698
INDIA,NR,RJ,2033,10704.975766437748
INDIA,NR,RJ,2034,10410.351756691589
INDIA,NR,RJ,2035,10122.236493139742
INDIA,NR,RJ,2036,9843.116247569047
INDIA,NR,RJ,2037,9571.455005133177
INDIA,NR,RJ,2038,9307.070173909668
INDIA,NR,RJ,2039,9049.78330421651
INDIA,NR,RJ,2040,8800.65
INDIA,NR,RJ,2041,8557.021016892106
INDIA,NR,UK,2014,13453.125
INDIA,NR,UK,2015,13360.627477968035
INDIA,NR,UK,2016,13268.76592650663
