LIGHT_ELEC,RES_LIGHT,Hours
FAN,RES_COOL,CH
COOLER,RES_COOL,CH
AC,RES_COOL,CDH
FRIDGE,RES_REF,Hours
TV,RES_TV,Hours
COOKSTOVE_MOD,RES_COOK,UsefulMJ
COOKSTOVE_SF,RES_COOK,UsefulMJ
BOF,STEEL,MT
EAF,STEEL,MT
IF,STEEL,MT
PRIMARY,ALUMINIUM,MT
SECONDARY,ALUMINIUM,MT
OPC,CEMENT,MT
PPC,CEMENT,MT
PSC,CEMENT,MT
CC,CEMENT,MT
LC3,CEMENT,MT
2W,ShortDistPass,PKM
IPT3W,ShortDistPass,PKM
IPT4W,ShortDistPass,PKM,LongDistPass,PKM
4W,ShortDistPass,PKM
BUS,ShortDistPass,PKM,LongDistPass,PKM
RAIL,ShortDistPass,PKM,LongDistPass,PKM,Freight,TKM,,
AIR,LongDistPass,PKM,Freight,TKM,IntAirPass,PKM,IntFreight,MT
LGV,Freight,TKM
MGV,Freight,TKM
HGV,Freight,TKM
WATER,Freight,MT,IntFreight,MT
