ModelGeography,Year,AIR
INDIA,2016,50707758000.00001
INDIA,2017,55351710000.00001
INDIA,2018,60937540000.00001
INDIA,2019,64370276000.00001
INDIA,2020,60981552000
INDIA,2021,7840052000.000001
INDIA,2022,21951112000.000004
INDIA,2023,22987278000
INDIA,2024,24072354000
INDIA,2025,25183441350.000004
INDIA,2026,26368097393.085052
INDIA,2027,27607819221.400616
INDIA,2028,28905025733.801632
INDIA,2029,30262213460.898617
INDIA,2030,31681952441.17041
INDIA,2031,33166879978.50896
INDIA,2032,34719687849.23418
INDIA,2033,36343120378.207184
INDIA,2034,38039948818.81111
INDIA,2035,39812963142.59595
INDIA,2036,41664940404.47245
INDIA,2037,43598616456.24956
INDIA,2038,45616651631.71162
INDIA,2039,47721580771.423225
INDIA,2040,49915755514.384674
INDIA,2041,52201270440.00001
