Year,ModelGeography,SubGeography1,GDP
2023,INDIA,NER,5562387.893
2023,INDIA,NR,56040705.83
2023,INDIA,SR,64557693.49
2023,INDIA,ER,26235718.09
2023,INDIA,WR,62971201.45
2024,INDIA,NER,5889370.872
2024,INDIA,WR,66983719.7
2024,INDIA,ER,27521346.63
2024,INDIA,NR,59065724.98
2024,INDIA,SR,68592468.53
2025,INDIA,SR,72545707.82
2025,INDIA,NR,63828077.97
2025,INDIA,NER,6328062.898
2025,INDIA,WR,71552296.53
2025,INDIA,ER,29764014.52
2026,INDIA,NER,6798364.67
2026,INDIA,ER,32183173.24
2026,INDIA,SR,76717640.98
2026,INDIA,WR,76421876.69
2026,INDIA,NR,68960232.39
2027,INDIA,NR,74423789.91
2027,INDIA,SR,81044764.86
2027,INDIA,ER,34765288.9
2027,INDIA,NER,7296858.574
2027,INDIA,WR,81557037.32
2028,INDIA,NER,7826890.267
2028,INDIA,ER,37526882.64
2028,INDIA,WR,86985178.83
2028,INDIA,NR,80255102.32
2028,INDIA,SR,85548363.56
2029,INDIA,NR,86529110.96
2029,INDIA,NER,8393639.777
2029,INDIA,SR,90292816.11
2029,INDIA,WR,92763367.45
2029,INDIA,ER,40502668.39
2030,INDIA,SR,95290510.53
2030,INDIA,NER,8999741.444
2030,INDIA,WR,98914085
2030,INDIA,ER,43708001.1
2030,INDIA,NR,93277965.12
2031,INDIA,NR,100537440.9
2031,INDIA,SR,100555321.7
2031,INDIA,WR,105459475.4
2031,INDIA,ER,47159522.92
2031,INDIA,NER,9648008.139
2032,INDIA,NER,10331443.06
2032,INDIA,SR,106010191.3
2032,INDIA,ER,50823563.61
2032,INDIA,WR,112364038
2032,INDIA,NR,108274381.3
2033,INDIA,NER,11052729.92
2033,INDIA,ER,54725196.37
2033,INDIA,WR,119661660.9
2033,INDIA,SR,111679291.7
2033,INDIA,NR,116538403.4
2034,INDIA,NR,125416587.3
2034,INDIA,WR,127420828.8
2034,INDIA,NER,11823240.25
2034,INDIA,SR,117642220
2034,INDIA,ER,58918703.94
2035,INDIA,NR,134951001.5
2035,INDIA,SR,123912809.6
2035,INDIA,ER,63426448.69
2035,INDIA,WR,135668045.8
2035,INDIA,NER,12645058.33
2036,INDIA,ER,68270572.25
2036,INDIA,SR,130505630.8
2036,INDIA,NER,13522100.62
2036,INDIA,WR,144435923.1
2036,INDIA,NR,145192496
2037,INDIA,NER,14457492.24
2037,INDIA,ER,73476140.28
2037,INDIA,NR,156189792.3
2037,INDIA,WR,153756168.4
2037,INDIA,SR,137438128.9
2038,INDIA,ER,79093119.31
2038,INDIA,NER,15460286.37
2038,INDIA,SR,144941163.8
2038,INDIA,NR,168049151.4
2038,INDIA,WR,163718794.5
2039,INDIA,NER,16531295.61
2039,INDIA,WR,174326521.4
2039,INDIA,SR,152885073.7
2039,INDIA,NR,180799074.4
2039,INDIA,ER,85134842.84
2040,INDIA,SR,161293584.7
2040,INDIA,NR,194506392.6
2040,INDIA,ER,91633384.71
2040,INDIA,WR,185621741.7
2040,INDIA,NER,17675156.88
2041,INDIA,NR,209242894.1
2041,INDIA,WR,197649618.3
2041,INDIA,ER,98623212.67
2041,INDIA,SR,170192144.2
2041,INDIA,NER,18896816.56
