ModelGeography,SubGeography1,SubGeography2,Year,ServiceTechCategory,ServiceTech,NumInstances
INDIA,SR,AP,2014,LGV,LGV_HSD,289313
INDIA,SR,AP,2014,LGV,LGV_E,289313
INDIA,SR,AP,2014,LGV,LGV_MS,289313
INDIA,SR,AP,2014,LGV,LGV_NATGAS,289313
INDIA,SR,AP,2015,LGV,LGV_HSD,277367
INDIA,SR,AP,2015,LGV,LGV_E,277367
INDIA,SR,AP,2015,LGV,LGV_MS,277367
INDIA,SR,AP,2015,LGV,LGV_NATGAS,277367
INDIA,SR,AP,2016,LGV,LGV_HSD,265752
INDIA,SR,AP,2016,LGV,LGV_E,265752
INDIA,SR,AP,2016,LGV,LGV_MS,265752
INDIA,SR,AP,2016,LGV,LGV_NATGAS,265752
INDIA,SR,AP,2017,LGV,LGV_HSD,256216
INDIA,SR,AP,2017,LGV,LGV_E,256216
INDIA,SR,AP,2017,LGV,LGV_MS,256216
INDIA,SR,AP,2017,LGV,LGV_NATGAS,256216
INDIA,SR,AP,2018,LGV,LGV_HSD,254057
INDIA,SR,AP,2018,LGV,LGV_E,254057
INDIA,SR,AP,2018,LGV,LGV_MS,254057
INDIA,SR,AP,2018,LGV,LGV_NATGAS,254057
INDIA,SR,AP,2019,LGV,LGV_HSD,253180
INDIA,SR,AP,2019,LGV,LGV_E,253180
INDIA,SR,AP,2019,LGV,LGV_MS,253180
INDIA,SR,AP,2019,LGV,LGV_NATGAS,253180
INDIA,SR,AP,2020,LGV,LGV_HSD,248657
INDIA,SR,AP,2020,LGV,LGV_E,248657
INDIA,SR,AP,2020,LGV,LGV_MS,248657
INDIA,SR,AP,2020,LGV,LGV_NATGAS,248657
INDIA,SR,AP,2021,LGV,LGV_HSD,246007
INDIA,SR,AP,2021,LGV,LGV_E,246007
INDIA,SR,AP,2021,LGV,LGV_MS,246007
INDIA,SR,AP,2021,LGV,LGV_NATGAS,246007
INDIA,SR,AP,2022,LGV,LGV_HSD,239382
INDIA,SR,AP,2022,LGV,LGV_E,239382
INDIA,SR,AP,2022,LGV,LGV_MS,239382
INDIA,SR,AP,2022,LGV,LGV_NATGAS,239382
INDIA,SR,AP,2023,LGV,LGV_HSD,235478
INDIA,SR,AP,2023,LGV,LGV_E,235478
INDIA,SR,AP,2023,LGV,LGV_MS,235478
INDIA,SR,AP,2023,LGV,LGV_NATGAS,235478
INDIA,SR,AP,2024,LGV,LGV_HSD,233717
INDIA,SR,AP,2024,LGV,LGV_E,233717
INDIA,SR,AP,2024,LGV,LGV_MS,233717
INDIA,SR,AP,2024,LGV,LGV_NATGAS,233717
INDIA,SR,AP,2025,LGV,LGV_HSD,234317
INDIA,SR,AP,2025,LGV,LGV_E,234317
INDIA,SR,AP,2025,LGV,LGV_MS,234317
INDIA,SR,AP,2025,LGV,LGV_NATGAS,234317
INDIA,SR,AP,2026,LGV,LGV_HSD,235456
INDIA,SR,AP,2026,LGV,LGV_E,235456
INDIA,SR,AP,2026,LGV,LGV_MS,235456
INDIA,SR,AP,2026,LGV,LGV_NATGAS,235456
INDIA,SR,AP,2027,LGV,LGV_HSD,236895
INDIA,SR,AP,2027,LGV,LGV_E,236895
INDIA,SR,AP,2027,LGV,LGV_MS,236895
INDIA,SR,AP,2027,LGV,LGV_NATGAS,236895
INDIA,SR,AP,2028,LGV,LGV_HSD,238718
INDIA,SR,AP,2028,LGV,LGV_E,238718
INDIA,SR,AP,2028,LGV,LGV_MS,238718
INDIA,SR,AP,2028,LGV,LGV_NATGAS,238718
INDIA,SR,AP,2029,LGV,LGV_HSD,241024
INDIA,SR,AP,2029,LGV,LGV_E,241024
INDIA,SR,AP,2029,LGV,LGV_MS,241024
INDIA,SR,AP,2029,LGV,LGV_NATGAS,241024
INDIA,SR,AP,2030,LGV,LGV_HSD,243948
INDIA,SR,AP,2030,LGV,LGV_E,243948
INDIA,SR,AP,2030,LGV,LGV_MS,243948
INDIA,SR,AP,2030,LGV,LGV_NATGAS,243948
INDIA,SR,AP,2031,LGV,LGV_HSD,247661
INDIA,SR,AP,2031,LGV,LGV_E,247661
INDIA,SR,AP,2031,LGV,LGV_MS,247661
INDIA,SR,AP,2031,LGV,LGV_NATGAS,247661
INDIA,SR,AP,2032,LGV,LGV_HSD,252390
INDIA,SR,AP,2032,LGV,LGV_E,252390
INDIA,SR,AP,2032,LGV,LGV_MS,252390
INDIA,SR,AP,2032,LGV,LGV_NATGAS,252390
INDIA,SR,AP,2033,LGV,LGV_HSD,258430
INDIA,SR,AP,2033,LGV,LGV_E,258430
INDIA,SR,AP,2033,LGV,LGV_MS,258430
INDIA,SR,AP,2033,LGV,LGV_NATGAS,258430
INDIA,SR,AP,2034,LGV,LGV_HSD,266183
INDIA,SR,AP,2034,LGV,LGV_E,266183
