Year,AnnualStorageCost
2021,42479.14797664
2022,42479.14797664
2023,42479.14797664
2024,55329.80987664
2025,61755.14082664
2026,62783.19377864
2027,62783.19377864
2028,62783.19377864
2029,71088.3829719836
2030,71088.3829719836
2031,71088.3829719836
