Year,AnnualCost
2021,25788808.29777624
2022,27702927.699865565
2023,29525152.393091984
2024,31087129.41794816
2025,32766437.139753144
2026,34295421.56370567
2027,35879946.60241793
2028,37664728.062988706
2029,39902740.05010638
2030,42080148.309297204
2031,44149824.54143962
