Year,AnnualECTCost
2021,4852024.2703654235
2022,5058628.813019515
2023,5339999.680694486
2024,5589500.157875624
2025,5949790.731766228
2026,6192122.977480879
2027,6320636.355187069
2028,6575705.486186294
2029,6921961.947368973
2030,7223086.558643113
2031,7446795.056806586
