Year,AnnualCost
2021,25785774.072908957
2022,27699925.143632177
2023,29530774.48539665
2024,31090690.406676684
2025,32769686.926487766
2026,34286376.43387725
2027,35809434.03512281
2028,37549964.89114238
2029,39698674.623936236
2030,41785396.01172541
2031,43976455.34072878
