EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,ECCostInBT_BA
COKING_COAL,2021,,,,INDIA,ER,491375.1468489418
COKING_COAL,2021,,,,INDIA,WR,32421.90935911106
COKING_COAL,2021,,,,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,SR,10526.570285156697
COKING_COAL,2021,,,,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,ER,530879.6144396269
COKING_COAL,2022,,,,INDIA,WR,35509.445653211355
COKING_COAL,2022,,,,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,SR,11519.685510116216
COKING_COAL,2022,,,,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,ER,558854.9327764732
COKING_COAL,2023,,,,INDIA,WR,37901.09509036651
COKING_COAL,2023,,,,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,SR,12283.524631129061
COKING_COAL,2023,,,,INDIA,NER,0.0
COKING_COAL,2024,,,,INDIA,ER,586725.5969345386
COKING_COAL,2024,,,,INDIA,WR,40350.92314361018
COKING_COAL,2024,,,,INDIA,NR,0.0
COKING_COAL,2024,,,,INDIA,SR,13063.0839045215
COKING_COAL,2024,,,,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,ER,616240.7532231509
COKING_COAL,2025,,,,INDIA,WR,42979.87361340723
COKING_COAL,2025,,,,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,SR,13897.596251054785
COKING_COAL,2025,,,,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,ER,645705.4115132734
COKING_COAL,2026,,,,INDIA,WR,45678.053496722736
COKING_COAL,2026,,,,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,SR,14750.617060657705
COKING_COAL,2026,,,,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,ER,675906.7473593354
COKING_COAL,2027,,,,INDIA,WR,48502.68445610389
COKING_COAL,2027,,,,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,SR,15640.448575491217
COKING_COAL,2027,,,,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,ER,707476.4330323088
COKING_COAL,2028,,,,INDIA,WR,51504.232106896074
COKING_COAL,2028,,,,INDIA,NR,0.0
COKING_COAL,2028,,,,INDIA,SR,16582.9114252411
COKING_COAL,2028,,,,INDIA,NER,0.0
COKING_COAL,2029,,,,INDIA,ER,740474.0455863388
COKING_COAL,2029,,,,INDIA,WR,54693.91794638285
COKING_COAL,2029,,,,INDIA,NR,0.0
COKING_COAL,2029,,,,INDIA,SR,17581.045046969404
COKING_COAL,2029,,,,INDIA,NER,0.0
COKING_COAL,2030,,,,INDIA,ER,774961.6245913093
COKING_COAL,2030,,,,INDIA,WR,58083.68207013687
COKING_COAL,2030,,,,INDIA,NR,0.0
COKING_COAL,2030,,,,INDIA,SR,18638.059313132388
COKING_COAL,2030,,,,INDIA,NER,0.0
COKING_COAL,2031,,,,INDIA,ER,811003.7681357483
COKING_COAL,2031,,,,INDIA,WR,61686.22930709816
COKING_COAL,2031,,,,INDIA,NR,0.0
COKING_COAL,2031,,,,INDIA,SR,19757.343744767873
COKING_COAL,2031,,,,INDIA,NER,0.0
STEAM_COAL,2021,,,,INDIA,ER,800812.5529804692
STEAM_COAL,2021,,,,INDIA,WR,1053078.890098904
STEAM_COAL,2021,,,,INDIA,NR,461248.6226888165
STEAM_COAL,2021,,,,INDIA,SR,866887.9418769652
STEAM_COAL,2021,,,,INDIA,NER,13809.26187294103
STEAM_COAL,2022,,,,INDIA,ER,843284.650999068
STEAM_COAL,2022,,,,INDIA,WR,1109328.511984871
STEAM_COAL,2022,,,,INDIA,NR,482979.01535291364
STEAM_COAL,2022,,,,INDIA,SR,948917.6895498353
STEAM_COAL,2022,,,,INDIA,NER,13831.50856469761
STEAM_COAL,2023,,,,INDIA,ER,903043.8590518795
STEAM_COAL,2023,,,,INDIA,WR,1168583.6598138174
STEAM_COAL,2023,,,,INDIA,NR,373474.82430036314
STEAM_COAL,2023,,,,INDIA,SR,926031.9142515521
STEAM_COAL,2023,,,,INDIA,NER,10894.622906268476
STEAM_COAL,2024,,,,INDIA,ER,941964.6867296675
STEAM_COAL,2024,,,,INDIA,WR,1231064.480082654
STEAM_COAL,2024,,,,INDIA,NR,377394.5169285181
STEAM_COAL,2024,,,,INDIA,SR,824118.4229309828
STEAM_COAL,2024,,,,INDIA,NER,8021.2587112624515
STEAM_COAL,2025,,,,INDIA,ER,968864.9304814972
STEAM_COAL,2025,,,,INDIA,WR,1288487.2161901616
STEAM_COAL,2025,,,,INDIA,NR,264341.5906177837
STEAM_COAL,2025,,,,INDIA,SR,815262.0067636257
STEAM_COAL,2025,,,,INDIA,NER,6648.003880460054
STEAM_COAL,2026,,,,INDIA,ER,970989.693835984
STEAM_COAL,2026,,,,INDIA,WR,1278793.5838804084
STEAM_COAL,2026,,,,INDIA,NR,252326.80549324586
STEAM_COAL,2026,,,,INDIA,SR,766795.3072773241
STEAM_COAL,2026,,,,INDIA,NER,6495.373122752851
STEAM_COAL,2027,,,,INDIA,ER,934217.5040393618
STEAM_COAL,2027,,,,INDIA,WR,1298794.8935776302
STEAM_COAL,2027,,,,INDIA,NR,280609.5277240721
STEAM_COAL,2027,,,,INDIA,SR,711340.4406655588
STEAM_COAL,2027,,,,INDIA,NER,5015.146643292409
STEAM_COAL,2028,,,,INDIA,ER,912608.2552364522
STEAM_COAL,2028,,,,INDIA,WR,1314232.8845502872
STEAM_COAL,2028,,,,INDIA,NR,304702.5854695845
STEAM_COAL,2028,,,,INDIA,SR,686656.0948659474
STEAM_COAL,2028,,,,INDIA,NER,5067.831076053561
STEAM_COAL,2029,,,,INDIA,ER,922402.7257510334
STEAM_COAL,2029,,,,INDIA,WR,1318520.2932944254
STEAM_COAL,2029,,,,INDIA,NR,333228.96678188775
STEAM_COAL,2029,,,,INDIA,SR,693044.9907482783
STEAM_COAL,2029,,,,INDIA,NER,6284.1343725887145
STEAM_COAL,2030,,,,INDIA,ER,945801.935263506
STEAM_COAL,2030,,,,INDIA,WR,1300348.4679283092
STEAM_COAL,2030,,,,INDIA,NR,361561.2876270785
STEAM_COAL,2030,,,,INDIA,SR,667922.5736924626
STEAM_COAL,2030,,,,INDIA,NER,6002.00772142736
STEAM_COAL,2031,,,,INDIA,ER,956846.8088764052
STEAM_COAL,2031,,,,INDIA,WR,1314816.5966849208
STEAM_COAL,2031,,,,INDIA,NR,416823.17716144957
STEAM_COAL,2031,,,,INDIA,SR,683404.2897376879
STEAM_COAL,2031,,,,INDIA,NER,8084.46565057663
NATGAS,2021,,,,INDIA,,430857.10411802365
NATGAS,2022,,,,INDIA,,486435.9232082983
NATGAS,2023,,,,INDIA,,523156.55211785046
NATGAS,2024,,,,INDIA,,579274.8128887959
NATGAS,2025,,,,INDIA,,627789.9514608249
NATGAS,2026,,,,INDIA,,690338.187527728
NATGAS,2027,,,,INDIA,,771125.6296188916
NATGAS,2028,,,,INDIA,,820857.3346750848
NATGAS,2029,,,,INDIA,,916411.0847268834
NATGAS,2030,,,,INDIA,,1014201.6411779094
NATGAS,2031,,,,INDIA,,1073743.6400029128
BIOGAS,2021,,,,INDIA,,17546.940840270774
