EnergyService,EnergyCarrier,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,BaseYearDemand
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,MONSOON,ALLDAYS,EVENING,4.034574331
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,AUTUMN,ALLDAYS,NIGHT,4.191765539
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,AUTUMN,ALLDAYS,EARLY,2.515059323
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,AUTUMN,ALLDAYS,MORN,2.986632946
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,AUTUMN,ALLDAYS,MID,3.143824154
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,AUTUMN,ALLDAYS,AFTERNOON,3.143824154
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,AUTUMN,ALLDAYS,EVENING,4.034574331
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,WINTER,ALLDAYS,NIGHT,4.191765539
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,WINTER,ALLDAYS,EARLY,2.515059323
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,WINTER,ALLDAYS,MORN,2.986632946
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,WINTER,ALLDAYS,MID,3.143824154
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,WINTER,ALLDAYS,AFTERNOON,3.143824154
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,WINTER,ALLDAYS,EVENING,4.034574331
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,SPRING,ALLDAYS,NIGHT,4.191765539
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,SPRING,ALLDAYS,EARLY,2.515059323
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,SPRING,ALLDAYS,MORN,2.986632946
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,SPRING,ALLDAYS,MID,3.143824154
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,SPRING,ALLDAYS,AFTERNOON,3.143824154
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,SPRING,ALLDAYS,EVENING,4.034574331
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SUMMER,ALLDAYS,NIGHT,0.926890366
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SUMMER,ALLDAYS,EARLY,0.55613422
