ServiceTech,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,EfficiencyLevelName,EfficiencySplitShare
AC,RURAL,INDIA,WR,GJ,2024,4STARAC,0.35
AC,RURAL,INDIA,WR,GJ,2024,5STARAC,0.190913862
FR_DIRECTCOOL,RURAL,INDIA,WR,GJ,2024,2STARDC,0.196516034
FR_DIRECTCOOL,RURAL,INDIA,WR,GJ,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,WR,GJ,2024,4STARDC,0.203483966
FR_FROSTFREE,RURAL,INDIA,WR,GJ,2024,2STARFF,0.195353713
FR_FROSTFREE,RURAL,INDIA,WR,GJ,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,WR,GJ,2024,4STARFF,0.204646287
LIGHT_ELEC,RURAL,INDIA,NR,HP,2024,INCAND,0.023428516
LIGHT_ELEC,RURAL,INDIA,NR,HP,2024,LED,0.976571484
AC,RURAL,INDIA,NR,HP,2024,3STARAC,0.458863631
AC,RURAL,INDIA,NR,HP,2024,4STARAC,0.35
AC,RURAL,INDIA,NR,HP,2024,5STARAC,0.191136369
FR_DIRECTCOOL,RURAL,INDIA,NR,HP,2024,2STARDC,0.19739258
FR_DIRECTCOOL,RURAL,INDIA,NR,HP,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,NR,HP,2024,4STARDC,0.20260742
FR_FROSTFREE,RURAL,INDIA,NR,HP,2024,2STARFF,0.196407309
FR_FROSTFREE,RURAL,INDIA,NR,HP,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,NR,HP,2024,4STARFF,0.203592691
LIGHT_ELEC,RURAL,INDIA,NR,HR,2024,INCAND,0.024494977
LIGHT_ELEC,RURAL,INDIA,NR,HR,2024,LED,0.975505023
AC,RURAL,INDIA,NR,HR,2024,3STARAC,0.457314544
AC,RURAL,INDIA,NR,HR,2024,4STARAC,0.35
AC,RURAL,INDIA,NR,HR,2024,5STARAC,0.192685456
FR_DIRECTCOOL,RURAL,INDIA,NR,HR,2024,2STARDC,0.19714503
FR_DIRECTCOOL,RURAL,INDIA,NR,HR,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,NR,HR,2024,4STARDC,0.20285497
FR_FROSTFREE,RURAL,INDIA,NR,HR,2024,2STARFF,0.196091464
FR_FROSTFREE,RURAL,INDIA,NR,HR,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,NR,HR,2024,4STARFF,0.203908536
LIGHT_ELEC,RURAL,INDIA,ER,JH,2024,INCAND,0.024254351
LIGHT_ELEC,RURAL,INDIA,ER,JH,2024,LED,0.975745649
AC,RURAL,INDIA,ER,JH,2024,3STARAC,0.457146945
AC,RURAL,INDIA,ER,JH,2024,4STARAC,0.35
AC,RURAL,INDIA,ER,JH,2024,5STARAC,0.192853055
FR_DIRECTCOOL,RURAL,INDIA,ER,JH,2024,2STARDC,0.19628929
FR_DIRECTCOOL,RURAL,INDIA,ER,JH,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,ER,JH,2024,4STARDC,0.20371071
FR_FROSTFREE,RURAL,INDIA,ER,JH,2024,2STARFF,0.195077681
FR_FROSTFREE,RURAL,INDIA,ER,JH,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,ER,JH,2024,4STARFF,0.204922319
LIGHT_ELEC,RURAL,INDIA,NR,JK,2024,INCAND,0.024331247
LIGHT_ELEC,RURAL,INDIA,NR,JK,2024,LED,0.975668753
AC,RURAL,INDIA,NR,JK,2024,3STARAC,0.461087115
AC,RURAL,INDIA,NR,JK,2024,4STARAC,0.35
AC,RURAL,INDIA,NR,JK,2024,5STARAC,0.188912885
FR_DIRECTCOOL,RURAL,INDIA,NR,JK,2024,2STARDC,0.196673589
FR_DIRECTCOOL,RURAL,INDIA,NR,JK,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,NR,JK,2024,4STARDC,0.203326411
FR_FROSTFREE,RURAL,INDIA,NR,JK,2024,2STARFF,0.19554174
FR_FROSTFREE,RURAL,INDIA,NR,JK,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,NR,JK,2024,4STARFF,0.20445826
LIGHT_ELEC,RURAL,INDIA,SR,KA,2024,INCAND,0.024595262
LIGHT_ELEC,RURAL,INDIA,SR,KA,2024,LED,0.975404738
AC,RURAL,INDIA,SR,KA,2024,3STARAC,0.455648481
AC,RURAL,INDIA,SR,KA,2024,4STARAC,0.35
AC,RURAL,INDIA,SR,KA,2024,5STARAC,0.194351519
FR_DIRECTCOOL,RURAL,INDIA,SR,KA,2024,2STARDC,0.195868288
FR_DIRECTCOOL,RURAL,INDIA,SR,KA,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,SR,KA,2024,4STARDC,0.204131712
FR_FROSTFREE,RURAL,INDIA,SR,KA,2024,2STARFF,0.194595383
FR_FROSTFREE,RURAL,INDIA,SR,KA,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,SR,KA,2024,4STARFF,0.205404617
LIGHT_ELEC,RURAL,INDIA,SR,KL,2024,INCAND,0.017204759
LIGHT_ELEC,RURAL,INDIA,SR,KL,2024,LED,0.982795241
AC,RURAL,INDIA,SR,KL,2024,3STARAC,0.466458176
AC,RURAL,INDIA,SR,KL,2024,4STARAC,0.35
AC,RURAL,INDIA,SR,KL,2024,5STARAC,0.183541824
FR_DIRECTCOOL,RURAL,INDIA,SR,KL,2024,2STARDC,0.199438557
FR_DIRECTCOOL,RURAL,INDIA,SR,KL,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,SR,KL,2024,4STARDC,0.200561443
FR_FROSTFREE,RURAL,INDIA,SR,KL,2024,2STARFF,0.1991384
FR_FROSTFREE,RURAL,INDIA,SR,KL,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,SR,KL,2024,4STARFF,0.2008616
LIGHT_ELEC,RURAL,INDIA,WR,MH,2024,INCAND,0.023452789
LIGHT_ELEC,RURAL,INDIA,WR,MH,2024,LED,0.976547211
AC,RURAL,INDIA,WR,MH,2024,3STARAC,0.457062288
AC,RURAL,INDIA,WR,MH,2024,4STARAC,0.35
AC,RURAL,INDIA,WR,MH,2024,5STARAC,0.192937712
FR_DIRECTCOOL,RURAL,INDIA,WR,MH,2024,2STARDC,0.196817126
FR_DIRECTCOOL,RURAL,INDIA,WR,MH,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,WR,MH,2024,4STARDC,0.203182874
FR_FROSTFREE,RURAL,INDIA,WR,MH,2024,2STARFF,0.195693069
FR_FROSTFREE,RURAL,INDIA,WR,MH,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,WR,MH,2024,4STARFF,0.204306931
LIGHT_ELEC,RURAL,INDIA,WR,MP,2024,INCAND,0.024037923
LIGHT_ELEC,RURAL,INDIA,WR,MP,2024,LED,0.975962077
AC,RURAL,INDIA,WR,MP,2024,3STARAC,0.451645706
AC,RURAL,INDIA,WR,MP,2024,4STARAC,0.35
AC,RURAL,INDIA,WR,MP,2024,5STARAC,0.198354294
FR_DIRECTCOOL,RURAL,INDIA,WR,MP,2024,2STARDC,0.196378637
FR_DIRECTCOOL,RURAL,INDIA,WR,MP,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,WR,MP,2024,4STARDC,0.203621363
FR_FROSTFREE,RURAL,INDIA,WR,MP,2024,2STARFF,0.195189183
FR_FROSTFREE,RURAL,INDIA,WR,MP,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,WR,MP,2024,4STARFF,0.204810817
LIGHT_ELEC,RURAL,INDIA,NER,NE,2024,INCAND,0.023402696
LIGHT_ELEC,RURAL,INDIA,NER,NE,2024,LED,0.976597304
AC,RURAL,INDIA,NER,NE,2024,3STARAC,0.457616618
AC,RURAL,INDIA,NER,NE,2024,4STARAC,0.35
AC,RURAL,INDIA,NER,NE,2024,5STARAC,0.192383382
FR_DIRECTCOOL,RURAL,INDIA,NER,NE,2024,2STARDC,0.196209463
FR_DIRECTCOOL,RURAL,INDIA,NER,NE,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,NER,NE,2024,4STARDC,0.203790537
FR_FROSTFREE,RURAL,INDIA,NER,NE,2024,2STARFF,0.194994335
FR_FROSTFREE,RURAL,INDIA,NER,NE,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,NER,NE,2024,4STARFF,0.205005665
LIGHT_ELEC,RURAL,INDIA,ER,OD,2024,INCAND,0.023745218
LIGHT_ELEC,RURAL,INDIA,ER,OD,2024,LED,0.976254782
AC,RURAL,INDIA,ER,OD,2024,3STARAC,0.452991093
AC,RURAL,INDIA,ER,OD,2024,4STARAC,0.35
AC,RURAL,INDIA,ER,OD,2024,5STARAC,0.197008907
FR_DIRECTCOOL,RURAL,INDIA,ER,OD,2024,2STARDC,0.195385673
FR_DIRECTCOOL,RURAL,INDIA,ER,OD,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,ER,OD,2024,4STARDC,0.204614327
FR_FROSTFREE,RURAL,INDIA,ER,OD,2024,2STARFF,0.194096784
FR_FROSTFREE,RURAL,INDIA,ER,OD,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,ER,OD,2024,4STARFF,0.205903216
LIGHT_ELEC,RURAL,INDIA,NR,PB,2024,INCAND,0.024262188
LIGHT_ELEC,RURAL,INDIA,NR,PB,2024,LED,0.975737812
AC,RURAL,INDIA,NR,PB,2024,3STARAC,0.458051471
AC,RURAL,INDIA,NR,PB,2024,4STARAC,0.35
AC,RURAL,INDIA,NR,PB,2024,5STARAC,0.191948529
FR_DIRECTCOOL,RURAL,INDIA,NR,PB,2024,2STARDC,0.197537271
FR_DIRECTCOOL,RURAL,INDIA,NR,PB,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,NR,PB,2024,4STARDC,0.202462729
FR_FROSTFREE,RURAL,INDIA,NR,PB,2024,2STARFF,0.196597435
FR_FROSTFREE,RURAL,INDIA,NR,PB,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,NR,PB,2024,4STARFF,0.203402565
LIGHT_ELEC,RURAL,INDIA,NR,RJ,2024,INCAND,0.023928412
LIGHT_ELEC,RURAL,INDIA,NR,RJ,2024,LED,0.976071588
AC,RURAL,INDIA,NR,RJ,2024,3STARAC,0.451397968
AC,RURAL,INDIA,NR,RJ,2024,4STARAC,0.35
AC,RURAL,INDIA,NR,RJ,2024,5STARAC,0.198602032
FR_DIRECTCOOL,RURAL,INDIA,NR,RJ,2024,2STARDC,0.195674697
FR_DIRECTCOOL,RURAL,INDIA,NR,RJ,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,NR,RJ,2024,4STARDC,0.204325303
FR_FROSTFREE,RURAL,INDIA,NR,RJ,2024,2STARFF,0.194484638
FR_FROSTFREE,RURAL,INDIA,NR,RJ,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,NR,RJ,2024,4STARFF,0.205515362
LIGHT_ELEC,RURAL,INDIA,SR,TN,2024,INCAND,0.022752447
LIGHT_ELEC,RURAL,INDIA,SR,TN,2024,LED,0.977247553
AC,RURAL,INDIA,SR,TN,2024,3STARAC,0.461359566
AC,RURAL,INDIA,SR,TN,2024,4STARAC,0.35
AC,RURAL,INDIA,SR,TN,2024,5STARAC,0.188640434
FR_DIRECTCOOL,RURAL,INDIA,SR,TN,2024,2STARDC,0.196869066
FR_DIRECTCOOL,RURAL,INDIA,SR,TN,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,SR,TN,2024,4STARDC,0.203130934
FR_FROSTFREE,RURAL,INDIA,SR,TN,2024,2STARFF,0.195781578
FR_FROSTFREE,RURAL,INDIA,SR,TN,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,SR,TN,2024,4STARFF,0.204218422
LIGHT_ELEC,RURAL,INDIA,SR,TS,2024,INCAND,0.02305345
LIGHT_ELEC,RURAL,INDIA,SR,TS,2024,LED,0.97694655
AC,RURAL,INDIA,SR,TS,2024,3STARAC,0.454001177
AC,RURAL,INDIA,SR,TS,2024,4STARAC,0.35
AC,RURAL,INDIA,SR,TS,2024,5STARAC,0.195998823
FR_DIRECTCOOL,RURAL,INDIA,SR,TS,2024,2STARDC,0.19666247
FR_DIRECTCOOL,RURAL,INDIA,SR,TS,2024,3STARDC,0.6
FR_DIRECTCOOL,RURAL,INDIA,SR,TS,2024,4STARDC,0.20333753
FR_FROSTFREE,RURAL,INDIA,SR,TS,2024,2STARFF,0.195532968
FR_FROSTFREE,RURAL,INDIA,SR,TS,2024,3STARFF,0.6
FR_FROSTFREE,RURAL,INDIA,SR,TS,2024,4STARFF,0.204467032
LIGHT_ELEC,RURAL,INDIA,NR,UK,2024,INCAND,0.023090613
LIGHT_ELEC,RURAL,INDIA,NR,UK,2024,LED,0.976909387
AC,RURAL,INDIA,NR,UK,2024,3STARAC,0.455000432
AC,RURAL,INDIA,NR,UK,2024,4STARAC,0.35
AC,RURAL,INDIA,NR,UK,2024,5STARAC,0.194999568
FR_DIRECTCOOL,RURAL,INDIA,NR,UK,2024,2STARDC,0.196732742
FR_DIRECTCOOL,RURAL,INDIA,NR,UK,2024,3STARDC,0.6
