DemandSector,EnergyService,ServiceTechCategory,ConsumerGranularity,GeographicGranularity,TimeGranularity,
D_RES,RES_LIGHT,LIGHT_ELEC,CONSUMERTYPE1,SUBGEOGRAPHY2,DAYSLICE,
D_RES,RES_COOL,FAN,CONSUMERTYPE1,SUBGEOGRAPHY2,DAYSLICE,
D_RES,RES_COOL,COOLER,CONSUMERTYPE1,SUBGEOGRAPHY2,DAYSLICE,
D_RES,RES_COOL,AC,CONSUMERTYPE1,SUBGEOGRAPHY2,DAYSLICE,
D_RES,RES_REF,FRIDGE,CONSUMERTYPE1,SUBGEOGRAPHY2,DAYSLICE,
D_RES,RES_TV,TV,CONSUMERTYPE1,SUBGEOGRAPHY2,DAYSLICE,
D_RES,RES_COOK,COOKSTOVE_MOD,CONSUMERTYPE1,SUBGEOGRAPHY2,YEAR,Cook stoves using modern fuels
D_RES,RES_COOK,COOKSTOVE_SF,CONSUMERTYPE1,SUBGEOGRAPHY2,YEAR,Solid fuel cook stoves
