ServiceTech,Year,EnergyService,EnergyCarrier,EmissionType,DomEmissionFactor,ImpEmissionFactor
COOKSTOVE_SF,2021,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2021,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2022,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2022,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2023,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2023,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2024,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2024,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2025,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2025,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2026,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2026,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2027,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2027,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2028,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2028,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2029,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2029,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2030,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2030,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2031,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2031,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2032,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2032,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2033,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2033,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2034,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2034,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2035,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2035,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2036,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2036,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2037,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2037,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2038,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2038,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2039,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2039,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2040,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2040,RES_COOK,BIOGAS,GHG,782.3592,26.9192
COOKSTOVE_SF,2041,RES_COOK,BIOMASS,GHG,434,434
CK_BIOGAS,2041,RES_COOK,BIOGAS,GHG,782.3592,26.9192
