DemandSector,EnergyService,InputType
D_RES,RES_LIGHT,BOTTOMUP
D_RES,RES_COOL,BOTTOMUP
D_RES,RES_REF,BOTTOMUP
D_RES,RES_COOK,BOTTOMUP
D_RES,RES_TV,BOTTOMUP
D_RES,RES_OTHER,EXOGENOUS
