ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,NumInstances
LIGHT_ELEC,RURAL,Q1,INDIA,ER,BR,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,BR,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,ER,BR,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,CG,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,CG,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,CG,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,CG,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,CG,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,CG,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,CG,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,CG,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,CG,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,CG,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,CG,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,DL,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,DL,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,DL,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,DL,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,DL,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,DL,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,DL,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,DL,2028,2.641820675
LIGHT_ELEC,RURAL,Q1,INDIA,NR,DL,2029,2.641820675
LIGHT_ELEC,RURAL,Q1,INDIA,NR,DL,2030,2.641820675
LIGHT_ELEC,RURAL,Q1,INDIA,NR,DL,2031,2.641820675
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GA,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GA,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GA,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GA,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GA,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GA,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GA,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GA,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GA,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GA,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GA,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GJ,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GJ,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GJ,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GJ,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GJ,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GJ,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GJ,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GJ,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GJ,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GJ,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GJ,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HP,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HP,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HP,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HP,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HP,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HP,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HP,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HP,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HP,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HP,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HP,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HR,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HR,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HR,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HR,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HR,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HR,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HR,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HR,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HR,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HR,2030,2.444308284
