ModelGeography,SubGeography1,SubGeography2,NumHH,ConsumerType1,Year,UsagePenetration
INDIA,ER,BR,22412860,RURAL,2024,1
INDIA,ER,BR,22798326,RURAL,2025,1
INDIA,ER,BR,23185523,RURAL,2026,1
INDIA,ER,BR,23566367,RURAL,2027,1
INDIA,ER,BR,23943207,RURAL,2028,1
INDIA,ER,BR,24322097,RURAL,2029,1
INDIA,ER,BR,24703044,RURAL,2030,1
INDIA,ER,BR,25085853,RURAL,2031,1
INDIA,ER,BR,25444991,RURAL,2032,1
INDIA,ER,BR,25787002,RURAL,2033,1
INDIA,ER,BR,26130981,RURAL,2034,1
INDIA,ER,BR,26476520,RURAL,2035,1
INDIA,ER,BR,26823832,RURAL,2036,1
INDIA,ER,BR,27173344,RURAL,2037,1
INDIA,ER,BR,27537771,RURAL,2038,1
INDIA,ER,BR,27907086,RURAL,2039,1
INDIA,ER,BR,28281354,RURAL,2040,1
INDIA,ER,BR,28660641,RURAL,2041,1
INDIA,ER,BR,3757302,URBAN,2024,1
INDIA,ER,BR,3881523,URBAN,2025,1
INDIA,ER,BR,4008916,URBAN,2026,1
INDIA,ER,BR,4138064,URBAN,2027,1
INDIA,ER,BR,4269234,URBAN,2028,1
INDIA,ER,BR,4403461,URBAN,2029,1
INDIA,ER,BR,4540807,URBAN,2030,1
INDIA,ER,BR,4681591,URBAN,2031,1
INDIA,ER,BR,4820639,URBAN,2032,1
INDIA,ER,BR,4959695,URBAN,2033,1
INDIA,ER,BR,5101661,URBAN,2034,1
INDIA,ER,BR,5247136,URBAN,2035,1
INDIA,ER,BR,5395916,URBAN,2036,1
INDIA,ER,BR,5547510,URBAN,2037,1
INDIA,ER,BR,5706663,URBAN,2038,1
INDIA,ER,BR,5870381,URBAN,2039,1
INDIA,ER,BR,6038797,URBAN,2040,1
INDIA,ER,BR,6212044,URBAN,2041,1
INDIA,ER,JH,6408521,RURAL,2024,1
INDIA,ER,JH,6548685,RURAL,2025,1
INDIA,ER,JH,6691241,RURAL,2026,1
INDIA,ER,JH,6831246,RURAL,2027,1
INDIA,ER,JH,6969709,RURAL,2028,1
INDIA,ER,JH,7110235,RURAL,2029,1
INDIA,ER,JH,7253086,RURAL,2030,1
INDIA,ER,JH,7397823,RURAL,2031,1
INDIA,ER,JH,7537989,RURAL,2032,1
INDIA,ER,JH,7676290,RURAL,2033,1
INDIA,ER,JH,7816050,RURAL,2034,1
INDIA,ER,JH,7957774,RURAL,2035,1
INDIA,ER,JH,8101234,RURAL,2036,1
INDIA,ER,JH,8247207,RURAL,2037,1
INDIA,ER,JH,8397965,RURAL,2038,1
INDIA,ER,JH,8551479,RURAL,2039,1
INDIA,ER,JH,8707799,RURAL,2040,1
INDIA,ER,JH,8866976,RURAL,2041,1
INDIA,ER,JH,2886561,URBAN,2024,1
INDIA,ER,JH,3007231,URBAN,2025,1
INDIA,ER,JH,3132129,URBAN,2026,1
INDIA,ER,JH,3259324,URBAN,2027,1
INDIA,ER,JH,3389722,URBAN,2028,1
INDIA,ER,JH,3524615,URBAN,2029,1
INDIA,ER,JH,3664146,URBAN,2030,1
INDIA,ER,JH,3808461,URBAN,2031,1
INDIA,ER,JH,3955077,URBAN,2032,1
INDIA,ER,JH,4103972,URBAN,2033,1
INDIA,ER,JH,4258222,URBAN,2034,1
INDIA,ER,JH,4417654,URBAN,2035,1
INDIA,ER,JH,4582790,URBAN,2036,1
INDIA,ER,JH,4752718,URBAN,2037,1
INDIA,ER,JH,4931444,URBAN,2038,1
INDIA,ER,JH,5116892,URBAN,2039,1
INDIA,ER,JH,5309313,URBAN,2040,1
INDIA,ER,JH,5508970,URBAN,2041,1
INDIA,ER,OD,10220730,RURAL,2024,1
INDIA,ER,OD,10374117,RURAL,2025,1
INDIA,ER,OD,10529086,RURAL,2026,1
INDIA,ER,OD,10676951,RURAL,2027,1
INDIA,ER,OD,10819704,RURAL,2028,1
INDIA,ER,OD,10964305,RURAL,2029,1
INDIA,ER,OD,11110197,RURAL,2030,1
INDIA,ER,OD,11257971,RURAL,2031,1
INDIA,ER,OD,11397283,RURAL,2032,1
INDIA,ER,OD,11530808,RURAL,2033,1
INDIA,ER,OD,11665892,RURAL,2034,1
INDIA,ER,OD,11801941,RURAL,2035,1
INDIA,ER,OD,11939570,RURAL,2036,1
INDIA,ER,OD,12078799,RURAL,2037,1
INDIA,ER,OD,12221308,RURAL,2038,1
INDIA,ER,OD,12365498,RURAL,2039,1
INDIA,ER,OD,12511390,RURAL,2040,1
INDIA,ER,OD,12659002,RURAL,2041,1
INDIA,ER,OD,2432031,URBAN,2024,1
INDIA,ER,OD,2470744,URBAN,2025,1
INDIA,ER,OD,2510010,URBAN,2026,1
INDIA,ER,OD,2547618,URBAN,2027,1
INDIA,ER,OD,2584119,URBAN,2028,1
INDIA,ER,OD,2620897,URBAN,2029,1
INDIA,ER,OD,2657951,URBAN,2030,1
INDIA,ER,OD,2695282,URBAN,2031,1
INDIA,ER,OD,2730953,URBAN,2032,1
INDIA,ER,OD,2765519,URBAN,2033,1
INDIA,ER,OD,2800361,URBAN,2034,1
INDIA,ER,OD,2835203,URBAN,2035,1
INDIA,ER,OD,2870598,URBAN,2036,1
INDIA,ER,OD,2905717,URBAN,2037,1
INDIA,ER,OD,2942353,URBAN,2038,1
INDIA,ER,OD,2979451,URBAN,2039,1
INDIA,ER,OD,3017017,URBAN,2040,1
INDIA,ER,OD,3055057,URBAN,2041,1
INDIA,ER,SK,86020,RURAL,2024,1
INDIA,ER,SK,83791,RURAL,2025,1
INDIA,ER,SK,81278,RURAL,2026,1
INDIA,ER,SK,78985,RURAL,2027,1
INDIA,ER,SK,76148,RURAL,2028,1
INDIA,ER,SK,73529,RURAL,2029,1
INDIA,ER,SK,70875,RURAL,2030,1
INDIA,ER,SK,67923,RURAL,2031,1
INDIA,ER,SK,65194,RURAL,2032,1
INDIA,ER,SK,62164,RURAL,2033,1
INDIA,ER,SK,59094,RURAL,2034,1
INDIA,ER,SK,56250,RURAL,2035,1
INDIA,ER,SK,53099,RURAL,2036,1
INDIA,ER,SK,50177,RURAL,2037,1
INDIA,ER,SK,47707,RURAL,2038,1
INDIA,ER,SK,45359,RURAL,2039,1
INDIA,ER,SK,43127,RURAL,2040,1
INDIA,ER,SK,41004,RURAL,2041,1
INDIA,ER,SK,125193,URBAN,2024,1
INDIA,ER,SK,133429,URBAN,2025,1
INDIA,ER,SK,141863,URBAN,2026,1
INDIA,ER,SK,150124,URBAN,2027,1
INDIA,ER,SK,158960,URBAN,2028,1
INDIA,ER,SK,168005,URBAN,2029,1
INDIA,ER,SK,177264,URBAN,2030,1
INDIA,ER,SK,186741,URBAN,2031,1
INDIA,ER,SK,196039,URBAN,2032,1
