EnergyService,EnergyCarrier,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,BaseYearDemand
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,MONSOON,ALLDAYS,NIGHT,13.23326936
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,MONSOON,ALLDAYS,EARLY,5.802279642
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,MONSOON,ALLDAYS,MORN,7.252849552
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,MONSOON,ALLDAYS,MID,7.252849552
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,MONSOON,ALLDAYS,AFTERNOON,7.252849552
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,MONSOON,ALLDAYS,EVENING,7.278298147
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,AUTUMN,ALLDAYS,NIGHT,13.23326936
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,AUTUMN,ALLDAYS,EARLY,5.802279642
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,AUTUMN,ALLDAYS,MORN,7.252849552
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,AUTUMN,ALLDAYS,MID,7.252849552
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,AUTUMN,ALLDAYS,AFTERNOON,7.252849552
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,AUTUMN,ALLDAYS,EVENING,7.278298147
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,WINTER,ALLDAYS,NIGHT,14.25121315
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,WINTER,ALLDAYS,EARLY,6.107662781
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,WINTER,ALLDAYS,MORN,7.634578476
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,WINTER,ALLDAYS,MID,7.634578476
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,WINTER,ALLDAYS,AFTERNOON,7.634578476
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,WINTER,ALLDAYS,EVENING,7.634578476
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,SPRING,ALLDAYS,NIGHT,14.25121315
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,SPRING,ALLDAYS,EARLY,6.107662781
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,SPRING,ALLDAYS,MORN,7.634578476
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,SPRING,ALLDAYS,MID,7.634578476
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,SPRING,ALLDAYS,AFTERNOON,7.634578476
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2020,SPRING,ALLDAYS,EVENING,7.634578476
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SUMMER,ALLDAYS,NIGHT,3.862260336
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SUMMER,ALLDAYS,EARLY,1.738017151
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SUMMER,ALLDAYS,MORN,2.172521439
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SUMMER,ALLDAYS,MID,2.172521439
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SUMMER,ALLDAYS,AFTERNOON,2.172521439
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,SUMMER,ALLDAYS,EVENING,2.172521439
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,MONSOON,ALLDAYS,NIGHT,4.184115364
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,MONSOON,ALLDAYS,EARLY,1.83457366
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,MONSOON,ALLDAYS,MORN,2.293217074
IND_ALL,ELECTRICITY,ALL,INDIA,NR,HP,2020,MONSOON,ALLDAYS,MID,2.293217074
