Year,ModelGeography,SubGeography1,SubGeography2,CC+OPC+PPC+PSC+LC3
2022,INDIA,NR,JK,0.005925426
2022,INDIA,NR,HP,0.093127659
2023,INDIA,NR,JK,0.006262067
2024,INDIA,NR,JK,0.006599513
2025,INDIA,NR,JK,0.007718222
2026,INDIA,NR,JK,0.009025845
2027,INDIA,NR,JK,0.010546217
2028,INDIA,NR,JK,0.012315205
2029,INDIA,NR,JK,0.014380077
2030,INDIA,NR,JK,0.016790152
2031,INDIA,NR,JK,0.019602972
2032,INDIA,NR,JK,0.022838272
2033,INDIA,NR,JK,0.02652058
2034,INDIA,NR,JK,0.030710618
2035,INDIA,NR,JK,0.035462828
2036,INDIA,NR,JK,0.040871058
2037,INDIA,NR,JK,0.047102149
2038,INDIA,NR,JK,0.054305787
2039,INDIA,NR,JK,0.062614237
2040,INDIA,NR,JK,0.072197039
2041,INDIA,NR,JK,0.083249772
2023,INDIA,NR,HP,0.098418515
2024,INDIA,NR,HP,0.103722028
2025,INDIA,NR,HP,0.121304359
2026,INDIA,NR,HP,0.141855768
2027,INDIA,NR,HP,0.165750879
2028,INDIA,NR,HP,0.193553384
2029,INDIA,NR,HP,0.22600619
2030,INDIA,NR,HP,0.263884419
2031,INDIA,NR,HP,0.308092439
2032,INDIA,NR,HP,0.358940414
2033,INDIA,NR,HP,0.416813849
2034,INDIA,NR,HP,0.482667077
2035,INDIA,NR,HP,0.557355753
2036,INDIA,NR,HP,0.642354837
2037,INDIA,NR,HP,0.740286522
2038,INDIA,NR,HP,0.85350335
2039,INDIA,NR,HP,0.984084086
2040,INDIA,NR,HP,1.134693347
2041,INDIA,NR,HP,1.308404932
2022,INDIA,NR,PB,0.043530806
2023,INDIA,NR,PB,0.046003919
2024,INDIA,NR,PB,0.048482949
2025,INDIA,NR,PB,0.056701485
2026,INDIA,NR,PB,0.066307862
2027,INDIA,NR,PB,0.077477191
2028,INDIA,NR,PB,0.090472959
2029,INDIA,NR,PB,0.105642425
2030,INDIA,NR,PB,0.123347904
2031,INDIA,NR,PB,0.144012127
2032,INDIA,NR,PB,0.167780075
2033,INDIA,NR,PB,0.194831945
2034,INDIA,NR,PB,0.225613822
2035,INDIA,NR,PB,0.260525666
2036,INDIA,NR,PB,0.300256919
2037,INDIA,NR,PB,0.346033279
2038,INDIA,NR,PB,0.398954397
2039,INDIA,NR,PB,0.459991953
2040,INDIA,NR,PB,0.530391474
2041,INDIA,NR,PB,0.61158975
2022,INDIA,NR,UK,0.024144742
2023,INDIA,NR,UK,0.025516476
2024,INDIA,NR,UK,0.026891492
2025,INDIA,NR,UK,0.031449975
2026,INDIA,NR,UK,0.036778236
2027,INDIA,NR,UK,0.042973401
2028,INDIA,NR,UK,0.050181618
2029,INDIA,NR,UK,0.058595495
2030,INDIA,NR,UK,0.068415994
2031,INDIA,NR,UK,0.079877586
2032,INDIA,NR,UK,0.093060686
2033,INDIA,NR,UK,0.108065242
2034,INDIA,NR,UK,0.125138679
2035,INDIA,NR,UK,0.144502839
2036,INDIA,NR,UK,0.166540126
2037,INDIA,NR,UK,0.191930384
2038,INDIA,NR,UK,0.221283545
2039,INDIA,NR,UK,0.25513856
2040,INDIA,NR,UK,0.294186269
2041,INDIA,NR,UK,0.339223604
2022,INDIA,NR,HR,0.049572191
2023,INDIA,NR,HR,0.052388532
2024,INDIA,NR,HR,0.055211612
2025,INDIA,NR,HR,0.06457075
2026,INDIA,NR,HR,0.07551034
2027,INDIA,NR,HR,0.088229794
2028,INDIA,NR,HR,0.103029169
2029,INDIA,NR,HR,0.120303915
2030,INDIA,NR,HR,0.140466633
2031,INDIA,NR,HR,0.163998723
2032,INDIA,NR,HR,0.191065284
2033,INDIA,NR,HR,0.221871524
2034,INDIA,NR,HR,0.256925436
2035,INDIA,NR,HR,0.296682489
2036,INDIA,NR,HR,0.34192781
2037,INDIA,NR,HR,0.394057201
2038,INDIA,NR,HR,0.454322929
2039,INDIA,NR,HR,0.523831529
2040,INDIA,NR,HR,0.604001384
2041,INDIA,NR,HR,0.696468691
2022,INDIA,NR,DL,0
2023,INDIA,NR,DL,0
2024,INDIA,NR,DL,0
2025,INDIA,NR,DL,0
2026,INDIA,NR,DL,0
2027,INDIA,NR,DL,0
2028,INDIA,NR,DL,0
2029,INDIA,NR,DL,0
2030,INDIA,NR,DL,0
2031,INDIA,NR,DL,0
2032,INDIA,NR,DL,0
2033,INDIA,NR,DL,0
2034,INDIA,NR,DL,0
2035,INDIA,NR,DL,0
2036,INDIA,NR,DL,0
2037,INDIA,NR,DL,0
2038,INDIA,NR,DL,0
2039,INDIA,NR,DL,0
2040,INDIA,NR,DL,0
2041,INDIA,NR,DL,0
2022,INDIA,NR,RJ,0.505254183
2023,INDIA,NR,RJ,0.533959158
2024,INDIA,NR,RJ,0.562732804
2025,INDIA,NR,RJ,0.658123866
2026,INDIA,NR,RJ,0.769623343
2027,INDIA,NR,RJ,0.899263718
2028,INDIA,NR,RJ,1.050103248
2029,INDIA,NR,RJ,1.226172485
2030,INDIA,NR,RJ,1.431676775
2031,INDIA,NR,RJ,1.671522674
2032,INDIA,NR,RJ,1.947392942
2033,INDIA,NR,RJ,2.261379093
2034,INDIA,NR,RJ,2.618658759
2035,INDIA,NR,RJ,3.023874206
2036,INDIA,NR,RJ,3.485027672
2037,INDIA,NR,RJ,4.016345587
2038,INDIA,NR,RJ,4.630591413
2039,INDIA,NR,RJ,5.339043276
2040,INDIA,NR,RJ,6.156157758
2041,INDIA,NR,RJ,7.098611443
2022,INDIA,NR,UP,0.1830325
2023,INDIA,NR,UP,0.193431114
2024,INDIA,NR,UP,0.203854605
2025,INDIA,NR,UP,0.238410805
2026,INDIA,NR,UP,0.278802411
2027,INDIA,NR,UP,0.325765708
2028,INDIA,NR,UP,0.380408573
2029,INDIA,NR,UP,0.444191108
2030,INDIA,NR,UP,0.518636734
2031,INDIA,NR,UP,0.605522892
2032,INDIA,NR,UP,0.705459175
2033,INDIA,NR,UP,0.81920325
2034,INDIA,NR,UP,0.94863076
