Year,ModelGeography,SubGeography1,SubGeography2,OPC+PPC+PSC+CC+LC3
2022,INDIA,NR,JK,0.159986497
2022,INDIA,NR,HP,2.514446791
2023,INDIA,NR,JK,0.169075801
2024,INDIA,NR,JK,0.178186848
2025,INDIA,NR,JK,0.1788096
2026,INDIA,NR,JK,0.179420144
2027,INDIA,NR,JK,0.179882874
2028,INDIA,NR,JK,0.18023724
2029,INDIA,NR,JK,0.180581755
2030,INDIA,NR,JK,0.180916035
2031,INDIA,NR,JK,0.181240033
2032,INDIA,NR,JK,0.181177904
2033,INDIA,NR,JK,0.180523934
2034,INDIA,NR,JK,0.179370122
2035,INDIA,NR,JK,0.177723433
2036,INDIA,NR,JK,0.175750668
2037,INDIA,NR,JK,0.17379273
2038,INDIA,NR,JK,0.171928063
2039,INDIA,NR,JK,0.170091859
2040,INDIA,NR,JK,0.168282752
2041,INDIA,NR,JK,0.166499544
2023,INDIA,NR,HP,2.657299904
2024,INDIA,NR,HP,2.800494763
2025,INDIA,NR,HP,2.810282317
2026,INDIA,NR,HP,2.819878004
2027,INDIA,NR,HP,2.827150565
2028,INDIA,NR,HP,2.832719988
2029,INDIA,NR,HP,2.838134611
2030,INDIA,NR,HP,2.843388362
2031,INDIA,NR,HP,2.84848051
2032,INDIA,NR,HP,2.847504049
2033,INDIA,NR,HP,2.837225859
2034,INDIA,NR,HP,2.819091835
2035,INDIA,NR,HP,2.793211452
2036,INDIA,NR,HP,2.762206244
2037,INDIA,NR,HP,2.731434086
2038,INDIA,NR,HP,2.702127831
2039,INDIA,NR,HP,2.673268911
2040,INDIA,NR,HP,2.644835866
2041,INDIA,NR,HP,2.616809864
2022,INDIA,NR,PB,1.17533177
2023,INDIA,NR,PB,1.242105823
2024,INDIA,NR,PB,1.309039618
2025,INDIA,NR,PB,1.31361463
2026,INDIA,NR,PB,1.318099957
2027,INDIA,NR,PB,1.321499381
2028,INDIA,NR,PB,1.324102705
2029,INDIA,NR,PB,1.326633671
2030,INDIA,NR,PB,1.32908944
2031,INDIA,NR,PB,1.331469671
2032,INDIA,NR,PB,1.331013242
2033,INDIA,NR,PB,1.326208892
2034,INDIA,NR,PB,1.317732477
2035,INDIA,NR,PB,1.305635169
2036,INDIA,NR,PB,1.291142356
2037,INDIA,NR,PB,1.276758479
2038,INDIA,NR,PB,1.26305981
2039,INDIA,NR,PB,1.249570241
2040,INDIA,NR,PB,1.236279738
2041,INDIA,NR,PB,1.223179501
