EnergyService,EnergyCarrier,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,EnergyDemand
AGRI_ALL,LPG,ALL,INDIA,,,2021,,,,1.582615928
AGRI_ALL,LPG,ALL,INDIA,,,2022,,,,2.036086014
AGRI_ALL,LPG,ALL,INDIA,,,2023,,,,2.590319596
AGRI_ALL,LPG,ALL,INDIA,,,2024,,,,3.260163597
AGRI_ALL,LPG,ALL,INDIA,,,2025,,,,4.061072868
AGRI_ALL,LPG,ALL,INDIA,,,2026,,,,5.008854558
AGRI_ALL,LPG,ALL,INDIA,,,2027,,,,6.119382675
AGRI_ALL,LPG,ALL,INDIA,,,2028,,,,7.408291969
AGRI_ALL,LPG,ALL,INDIA,,,2029,,,,8.890661358
AGRI_ALL,LPG,ALL,INDIA,,,2030,,,,10.58069761
AGRI_ALL,LPG,ALL,INDIA,,,2031,,,,12.49142999
AGRI_ALL,HSD,ALL,INDIA,,,2021,,,,473.2664674
AGRI_ALL,HSD,ALL,INDIA,,,2022,,,,488.3005453
AGRI_ALL,HSD,ALL,INDIA,,,2023,,,,503.8122051
AGRI_ALL,HSD,ALL,INDIA,,,2024,,,,519.816618
AGRI_ALL,HSD,ALL,INDIA,,,2025,,,,536.3294371
AGRI_ALL,HSD,ALL,INDIA,,,2026,,,,553.3668127
AGRI_ALL,HSD,ALL,INDIA,,,2027,,,,570.9454081
AGRI_ALL,HSD,ALL,INDIA,,,2028,,,,589.0824162
AGRI_ALL,HSD,ALL,INDIA,,,2029,,,,607.7955758
AGRI_ALL,HSD,ALL,INDIA,,,2030,,,,627.1031894
AGRI_ALL,HSD,ALL,INDIA,,,2031,,,,647.0241406
AGRI_ALL,PP_OTHER,ALL,INDIA,,,2021,,,,3.684347836
AGRI_ALL,PP_OTHER,ALL,INDIA,,,2022,,,,3.760897216
AGRI_ALL,PP_OTHER,ALL,INDIA,,,2023,,,,3.839037056
AGRI_ALL,PP_OTHER,ALL,INDIA,,,2024,,,,3.918800401
AGRI_ALL,PP_OTHER,ALL,INDIA,,,2025,,,,4.000220982
AGRI_ALL,PP_OTHER,ALL,INDIA,,,2026,,,,4.083333231
AGRI_ALL,PP_OTHER,ALL,INDIA,,,2027,,,,4.168172297
AGRI_ALL,PP_OTHER,ALL,INDIA,,,2028,,,,4.254774056
AGRI_ALL,PP_OTHER,ALL,INDIA,,,2029,,,,4.343175133
AGRI_ALL,PP_OTHER,ALL,INDIA,,,2030,,,,4.433412911
AGRI_ALL,PP_OTHER,ALL,INDIA,,,2031,,,,4.525525552
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,SUMMER,ALLDAYS,NIGHT,0.034892149
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,SUMMER,ALLDAYS,EARLY,0.020344702
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,MONSOON,ALLDAYS,NIGHT,0
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,AUTUMN,ALLDAYS,NIGHT,0.03233209
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,WINTER,ALLDAYS,NIGHT,0.034526426
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,SPRING,ALLDAYS,NIGHT,0.03233209
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,MONSOON,ALLDAYS,EARLY,0.008257634
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,AUTUMN,ALLDAYS,EARLY,0.017167658
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,WINTER,ALLDAYS,EARLY,0.019169509
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,SPRING,ALLDAYS,EARLY,0.017167658
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,SUMMER,ALLDAYS,MORN,0.021747785
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,MONSOON,ALLDAYS,MORN,0.009437297
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,AUTUMN,ALLDAYS,MORN,0.018939901
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,WINTER,ALLDAYS,MORN,0.022148911
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,SPRING,ALLDAYS,MORN,0.018939901
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,SUMMER,ALLDAYS,MID,0.01783792
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,MONSOON,ALLDAYS,MID,0.009437297
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,AUTUMN,ALLDAYS,MID,0.021712381
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,WINTER,ALLDAYS,MID,0.024137701
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,SPRING,ALLDAYS,MID,0.021712381
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,SUMMER,ALLDAYS,AFTERNOON,0.012962877
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,MONSOON,ALLDAYS,AFTERNOON,0.008650855
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,AUTUMN,ALLDAYS,AFTERNOON,0.019606726
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,WINTER,ALLDAYS,AFTERNOON,0.021619576
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,SPRING,ALLDAYS,AFTERNOON,0.019606726
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,SUMMER,ALLDAYS,EVENING,0.009394331
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,MONSOON,ALLDAYS,EVENING,0
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,AUTUMN,ALLDAYS,EVENING,0.009387113
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,WINTER,ALLDAYS,EVENING,0.010126808
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,DL,2021,SPRING,ALLDAYS,EVENING,0.009387113
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2021,SUMMER,ALLDAYS,NIGHT,10.13917001
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2021,MONSOON,ALLDAYS,NIGHT,0
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2021,AUTUMN,ALLDAYS,NIGHT,9.395252661
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2021,WINTER,ALLDAYS,NIGHT,10.03289611
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2021,SPRING,ALLDAYS,NIGHT,9.395252661
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2021,SUMMER,ALLDAYS,EARLY,5.911885628
AGRI_ALL,ELECTRICITY,ALL,INDIA,NR,HR,2021,MONSOON,ALLDAYS,EARLY,2.399552963
