Year,ModelGeography,ConsumerType1,EnergyDemand
2021,INDIA,ALL,375.51626778254354
2022,INDIA,ALL,386.70303844394726
2023,INDIA,ALL,395.10941380081255
2024,INDIA,ALL,403.5546125605119
2025,INDIA,ALL,412.02255059961146
2026,INDIA,ALL,420.5797113258559
2027,INDIA,ALL,429.1981883680768
2028,INDIA,ALL,437.993274378576
2029,INDIA,ALL,446.9685884011665
2030,INDIA,ALL,456.12782365452483
2031,INDIA,ALL,465.47474902532224
