Year,ModelGeography,EnergyDemand
2021,INDIA,1030.2166958459832
2022,INDIA,1132.1844319174272
2023,INDIA,1214.435160429064
2024,INDIA,1300.6948709027627
2025,INDIA,1390.6458259830767
2026,INDIA,1484.8429574490017
2027,INDIA,1582.878239638275
2028,INDIA,1685.9671532587913
2029,INDIA,1794.1586128554504
2030,INDIA,1907.4968645622785
2031,INDIA,2026.0217062599759
