Year,ModelGeography,ConsumerType1,EnergyDemand
2021,INDIA,ALL,470.9729911
2022,INDIA,ALL,483.579348
2023,INDIA,ALL,496.5231346
2024,INDIA,ALL,509.8133827
2025,INDIA,ALL,523.4593658
2026,INDIA,ALL,537.4706058
2027,INDIA,ALL,551.8568794
2028,INDIA,ALL,566.628225
2029,INDIA,ALL,581.7949497
2030,INDIA,ALL,597.3676363
2031,INDIA,ALL,613.3571512
