Year,ModelGeography,ConsumerType1,EnergyDemand
2021,INDIA,ALL,148.17445429677838
2022,INDIA,ALL,161.97569899123965
2023,INDIA,ALL,172.7645717869025
2024,INDIA,ALL,183.8529563131642
2025,INDIA,ALL,195.2054989442597
2026,INDIA,ALL,206.89710017183805
2027,INDIA,ALL,218.87928276817877
2028,INDIA,ALL,231.30187594023724
2029,INDIA,ALL,244.16696616332536
2030,INDIA,ALL,257.4760041360439
2031,INDIA,ALL,271.2298005831096
