ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,COOKSTOVE_MOD
RURAL,INDIA,NR,PB,2025,3362.868671
RURAL,INDIA,NR,RJ,2025,4021.732683
RURAL,INDIA,NR,UP,2025,3868.80903
RURAL,INDIA,NR,UK,2025,3743.568778
RURAL,INDIA,WR,CG,2025,3579.3886
RURAL,INDIA,WR,GJ,2025,3651.566571
RURAL,INDIA,WR,MP,2025,3603.148682
RURAL,INDIA,WR,MH,2025,3534.426431
RURAL,INDIA,WR,GA,2025,3212.035889
RURAL,INDIA,SR,AP,2025,2571.696672
RURAL,INDIA,SR,TS,2025,2804.634506
RURAL,INDIA,SR,KA,2025,3179.865904
RURAL,INDIA,SR,KL,2025,2963.163441
RURAL,INDIA,SR,TN,2025,2932.616821
RURAL,INDIA,ER,BR,2025,4000.501616
RURAL,INDIA,ER,JH,2025,3630.288829
RURAL,INDIA,ER,OD,2025,2925.955337
RURAL,INDIA,ER,WB,2025,2739.069223
RURAL,INDIA,NER,AS,2025,3472.729019
RURAL,INDIA,ER,SK,2025,3191.261591
RURAL,INDIA,NER,NE,2025,3489.693388
URBAN,INDIA,NR,DL,2025,3107.094004
URBAN,INDIA,NR,HR,2025,3260.099014
URBAN,INDIA,NR,HP,2025,1946.494029
URBAN,INDIA,NR,JK,2025,2984.640949
URBAN,INDIA,NR,PB,2025,3178.079607
URBAN,INDIA,NR,RJ,2025,3302.797358
URBAN,INDIA,NR,UP,2025,3402.889436
URBAN,INDIA,NR,UK,2025,3150.379964
URBAN,INDIA,WR,CG,2025,3317.343639
URBAN,INDIA,WR,GJ,2025,3103.179839
URBAN,INDIA,WR,MP,2025,3478.456618
URBAN,INDIA,WR,MH,2025,2852.118596
URBAN,INDIA,WR,GA,2025,3120.877488
URBAN,INDIA,SR,AP,2025,2376.67337
URBAN,INDIA,SR,TS,2025,2357.823482
URBAN,INDIA,SR,KA,2025,2815.62167
URBAN,INDIA,SR,KL,2025,2969.13888
URBAN,INDIA,SR,TN,2025,2401.622848
URBAN,INDIA,ER,BR,2025,3327.418645
URBAN,INDIA,ER,JH,2025,2842.994436
URBAN,INDIA,ER,OD,2025,2903.904654
URBAN,INDIA,ER,WB,2025,2849.505039
URBAN,INDIA,NER,AS,2025,3012.745161
URBAN,INDIA,ER,SK,2025,2202.654595
URBAN,INDIA,NER,NE,2025,3013.283967
RURAL,INDIA,NR,DL,2026,2766.907641
RURAL,INDIA,NR,HR,2026,3678.466203
RURAL,INDIA,NR,HP,2026,3397.042874
RURAL,INDIA,NR,JK,2026,3760.331763
RURAL,INDIA,NR,PB,2026,3321.10877
RURAL,INDIA,NR,RJ,2026,4007.638493
RURAL,INDIA,NR,UP,2026,3818.078095
RURAL,INDIA,NR,UK,2026,3743.568834
RURAL,INDIA,WR,CG,2026,3562.636936
RURAL,INDIA,WR,GJ,2026,3618.577242
RURAL,INDIA,WR,MP,2026,3572.376159
RURAL,INDIA,WR,MH,2026,3521.940683
RURAL,INDIA,WR,GA,2026,3198.051646
RURAL,INDIA,SR,AP,2026,2539.685207
RURAL,INDIA,SR,TS,2026,2789.809166
RURAL,INDIA,SR,KA,2026,3137.953268
RURAL,INDIA,SR,KL,2026,2941.586736
RURAL,INDIA,SR,TN,2026,2932.338577
RURAL,INDIA,ER,BR,2026,3985.817141
RURAL,INDIA,ER,JH,2026,3588.588275
RURAL,INDIA,ER,OD,2026,2894.177804
RURAL,INDIA,ER,WB,2026,2683.952688
RURAL,INDIA,NER,AS,2026,3413.738758
RURAL,INDIA,ER,SK,2026,3171.374788
RURAL,INDIA,NER,NE,2026,3451.905227
URBAN,INDIA,NR,DL,2026,3090.091629
URBAN,INDIA,NR,HR,2026,3240.725108
URBAN,INDIA,NR,HP,2026,1894.835723
URBAN,INDIA,NR,JK,2026,2922.204985
URBAN,INDIA,NR,PB,2026,3164.646107
URBAN,INDIA,NR,RJ,2026,3266.418403
URBAN,INDIA,NR,UP,2026,3357.211413
URBAN,INDIA,NR,UK,2026,3150.38024
URBAN,INDIA,WR,CG,2026,3292.107183
URBAN,INDIA,WR,GJ,2026,3083.577149
URBAN,INDIA,WR,MP,2026,3471.600106
URBAN,INDIA,WR,MH,2026,2807.231252
URBAN,INDIA,WR,GA,2026,3120.876392
URBAN,INDIA,SR,AP,2026,2345.456596
URBAN,INDIA,SR,TS,2026,2325.310517
URBAN,INDIA,SR,KA,2026,2811.323155
URBAN,INDIA,SR,KL,2026,2958.800182
URBAN,INDIA,SR,TN,2026,2375.109163
URBAN,INDIA,ER,BR,2026,3287.982337
URBAN,INDIA,ER,JH,2026,2781.157481
URBAN,INDIA,ER,OD,2026,2903.905164
URBAN,INDIA,ER,WB,2026,2830.664921
URBAN,INDIA,NER,AS,2026,3012.746775
URBAN,INDIA,ER,SK,2026,2173.590013
URBAN,INDIA,NER,NE,2026,2970.448868
RURAL,INDIA,NR,DL,2027,2692.921236
RURAL,INDIA,NR,HR,2027,3642.822577
RURAL,INDIA,NR,HP,2027,3397.04354
RURAL,INDIA,NR,JK,2027,3716.477019
RURAL,INDIA,NR,PB,2027,3279.866293
RURAL,INDIA,NR,RJ,2027,3993.593943
RURAL,INDIA,NR,UP,2027,3768.012409
RURAL,INDIA,NR,UK,2027,3743.568873
RURAL,INDIA,WR,CG,2027,3545.963769
RURAL,INDIA,WR,GJ,2027,3585.885669
RURAL,INDIA,WR,MP,2027,3541.866235
RURAL,INDIA,WR,MH,2027,3509.49897
RURAL,INDIA,WR,GA,2027,3184.16517
RURAL,INDIA,SR,AP,2027,2508.071961
RURAL,INDIA,SR,TS,2027,2775.061906
RURAL,INDIA,SR,KA,2027,3096.592597
RURAL,INDIA,SR,KL,2027,2920.167199
RURAL,INDIA,SR,TN,2027,2932.060517
RURAL,INDIA,ER,BR,2027,3971.186479
RURAL,INDIA,ER,JH,2027,3547.366615
RURAL,INDIA,ER,OD,2027,2862.745366
RURAL,INDIA,ER,WB,2027,2629.945328
RURAL,INDIA,NER,AS,2027,3355.75094
RURAL,INDIA,ER,SK,2027,3151.611065
RURAL,INDIA,NER,NE,2027,3414.526387
URBAN,INDIA,NR,DL,2027,3073.182128
URBAN,INDIA,NR,HR,2027,3221.465747
URBAN,INDIA,NR,HP,2027,1844.552812
URBAN,INDIA,NR,JK,2027,2861.073113
URBAN,INDIA,NR,PB,2027,3151.270217
URBAN,INDIA,NR,RJ,2027,3230.44055
URBAN,INDIA,NR,UP,2027,3312.146591
URBAN,INDIA,NR,UK,2027,3150.380805
URBAN,INDIA,WR,CG,2027,3267.061645
URBAN,INDIA,WR,GJ,2027,3064.098293
URBAN,INDIA,WR,MP,2027,3464.756885
URBAN,INDIA,WR,MH,2027,2763.050222
URBAN,INDIA,WR,GA,2027,3120.882004
URBAN,INDIA,SR,AP,2027,2314.649823
URBAN,INDIA,SR,TS,2027,2293.246341
