Year,AnnualECTCost
2021,4852024.2703654235
2022,5059071.703084151
2023,5362216.265746752
2024,5596983.633152534
2025,5974550.1331228465
2026,6253941.054792506
2027,6569927.224584534
2028,6848097.156308544
2029,7263622.536292026
2030,7589210.870752117
2031,7785389.419408397
