EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,DECCostInBT_BA
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,WR,592.4813991724757
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NR,506.10834667551387
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,SR,312.91150294803737
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NER,17.607884834224606
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,ER,205.35569079230402
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,WR,638.7734891241419
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NR,562.4514271554551
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,SR,337.96537497860857
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NER,21.345657362577057
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,202.4742042819216
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,WR,618.0992826603142
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NR,549.299075270567
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,SR,330.2007017093981
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NER,17.815775956526796
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,ER,309.15375992029817
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,WR,736.309761685698
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NR,795.1241155347382
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,SR,411.4118394579773
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NER,36.42912758771788
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,ER,400.0813496685647
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,WR,1055.7577866302197
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NR,1047.7948497780976
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,SR,587.5112085911255
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NER,24.401767200379403
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,ER,143.3783087779886
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,WR,476.88811093434975
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NR,403.72327011887586
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,SR,249.4312360362014
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NER,12.963137271388893
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,ER,168.88568387395793
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,WR,581.2900809497671
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NR,412.0526582030676
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,SR,308.63839952519646
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NER,11.204268307254457
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,ER,189.170713647764
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,WR,642.8869907191465
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NR,449.7475066919494
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,SR,345.8764941336658
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NER,14.103473694288427
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,ER,177.74188290737283
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,WR,618.4875515811309
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NR,463.33521838547966
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,SR,345.1825729907047
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NER,11.666058838576234
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,ER,227.18055100238718
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,WR,642.2352728525423
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,NR,557.2832234199801
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,SR,361.5456198297404
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,NER,25.390395146371226
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,ER,306.8340571576386
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,WR,1002.4561231601318
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,NR,810.8202226060425
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,SR,524.0765333374121
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,NER,19.18668008393261
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,ER,143.31167172151734
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,WR,460.5738052567366
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,NR,367.04506603486084
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,SR,247.93674660398324
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,NER,8.18564378455007
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,ER,187.56453455000855
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,WR,588.9656264962244
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,NR,434.60076147865715
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,SR,316.7694280901977
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,NER,13.317010264536012
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,ER,204.19610061952616
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,WR,648.0820677571618
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,NR,486.7803609389846
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,SR,347.7973973165331
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,NER,18.272939840095454
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,ER,201.25853737456058
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,WR,633.2644464993173
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,NR,474.93598424653385
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,SR,345.5720571208419
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,NER,15.903731581019764
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,ER,287.83881583005683
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,WR,735.806868243171
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,NR,563.8530009088968
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,SR,445.1483033402384
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,NER,30.719458487840452
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,ER,344.1178600800497
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,WR,1058.2581594720261
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,NR,762.30434130649
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,SR,598.2681459912783
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,NER,20.99237963035791
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,ER,201.68532632878447
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,WR,600.7063435742344
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,NR,535.336146550403
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,SR,349.9170752379293
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,NER,14.677515716547672
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,ER,218.53113264522716
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,WR,679.0032842601212
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,NR,645.8610546271957
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,SR,375.19523975829463
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,NER,20.206860702973138
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,ER,220.44674309448163
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,WR,660.3037224924427
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,NR,630.4801802731314
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,SR,365.08163308909553
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,NER,23.522258660702725
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,217.28257914701578
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,624.3222538153017
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,588.9725205980945
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,335.8447928505146
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,22.023671479648833
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,ER,343.3268318485687
