Year,AnnualStorageCost
2021,39444.92310936
2022,39444.92310936
2023,39444.92310936
2024,51377.68058436
2025,57344.059321860004
2026,59081.80027240344
2027,67120.30267776476
2028,78884.20502813048
2029,133021.75400952625
2030,192338.60602184417
2031,192338.60602184417
