ServiceTech,ModelGeography,Year,EfficiencyLevelName,EfficiencySplitShare
BUS_E,INDIA,2020,AVERAGE,1
BUS_E,INDIA,2021,AVERAGE,1
BUS_E,INDIA,2022,AVERAGE,1
BUS_E,INDIA,2023,AVERAGE,1
BUS_E,INDIA,2024,AVERAGE,1
BUS_E,INDIA,2025,AVERAGE,1
BUS_E,INDIA,2026,AVERAGE,1
BUS_E,INDIA,2027,AVERAGE,1
BUS_E,INDIA,2028,AVERAGE,1
BUS_E,INDIA,2029,AVERAGE,1
BUS_E,INDIA,2030,AVERAGE,1
BUS_E,INDIA,2031,AVERAGE,1
BUS_E,INDIA,2032,AVERAGE,1
BUS_E,INDIA,2033,AVERAGE,1
BUS_E,INDIA,2034,AVERAGE,1
BUS_E,INDIA,2035,AVERAGE,1
BUS_E,INDIA,2036,AVERAGE,1
BUS_E,INDIA,2037,AVERAGE,1
BUS_E,INDIA,2038,AVERAGE,1
BUS_E,INDIA,2039,AVERAGE,1
BUS_E,INDIA,2040,AVERAGE,1
BUS_E,INDIA,2041,AVERAGE,1
BUS_HSD,INDIA,2020,AVERAGE,1
BUS_HSD,INDIA,2021,AVERAGE,1
BUS_HSD,INDIA,2022,AVERAGE,1
BUS_HSD,INDIA,2023,AVERAGE,1
BUS_HSD,INDIA,2024,AVERAGE,1
BUS_HSD,INDIA,2025,AVERAGE,1
BUS_HSD,INDIA,2026,AVERAGE,1
BUS_HSD,INDIA,2027,AVERAGE,1
BUS_HSD,INDIA,2028,AVERAGE,1
BUS_HSD,INDIA,2029,AVERAGE,1
BUS_HSD,INDIA,2030,AVERAGE,1
BUS_HSD,INDIA,2031,AVERAGE,1
BUS_HSD,INDIA,2032,AVERAGE,1
BUS_HSD,INDIA,2033,AVERAGE,1
BUS_HSD,INDIA,2034,AVERAGE,1
BUS_HSD,INDIA,2035,AVERAGE,1
BUS_HSD,INDIA,2036,AVERAGE,1
BUS_HSD,INDIA,2037,AVERAGE,1
BUS_HSD,INDIA,2038,AVERAGE,1
BUS_HSD,INDIA,2039,AVERAGE,1
BUS_HSD,INDIA,2040,AVERAGE,1
BUS_HSD,INDIA,2041,AVERAGE,1
BUS_NATGAS,INDIA,2020,AVERAGE,1
BUS_NATGAS,INDIA,2021,AVERAGE,1
BUS_NATGAS,INDIA,2022,AVERAGE,1
BUS_NATGAS,INDIA,2023,AVERAGE,1
BUS_NATGAS,INDIA,2024,AVERAGE,1
BUS_NATGAS,INDIA,2025,AVERAGE,1
BUS_NATGAS,INDIA,2026,AVERAGE,1
BUS_NATGAS,INDIA,2027,AVERAGE,1
BUS_NATGAS,INDIA,2028,AVERAGE,1
BUS_NATGAS,INDIA,2029,AVERAGE,1
BUS_NATGAS,INDIA,2030,AVERAGE,1
BUS_NATGAS,INDIA,2031,AVERAGE,1
BUS_NATGAS,INDIA,2032,AVERAGE,1
BUS_NATGAS,INDIA,2033,AVERAGE,1
BUS_NATGAS,INDIA,2034,AVERAGE,1
BUS_NATGAS,INDIA,2035,AVERAGE,1
BUS_NATGAS,INDIA,2036,AVERAGE,1
BUS_NATGAS,INDIA,2037,AVERAGE,1
BUS_NATGAS,INDIA,2038,AVERAGE,1
BUS_NATGAS,INDIA,2039,AVERAGE,1
BUS_NATGAS,INDIA,2040,AVERAGE,1
BUS_NATGAS,INDIA,2041,AVERAGE,1
