ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration,
RURAL,Q1,INDIA,NER,AS,2021,0.76103372,
RURAL,Q1,INDIA,NR,JK,2021,0.525016704,
RURAL,Q2,INDIA,NER,AS,2021,0.811717577,
RURAL,Q2,INDIA,NR,JK,2021,0.564097776,
RURAL,Q3,INDIA,NER,AS,2021,0.8409278,
RURAL,Q3,INDIA,NR,JK,2021,0.571409926,
RURAL,Q4,INDIA,NER,AS,2021,0.867828363,
RURAL,Q4,INDIA,NR,JK,2021,0.564420656,
RURAL,Q5,INDIA,NER,AS,2021,0.907398614,
RURAL,Q5,INDIA,NR,JK,2021,0.472176525,
URBAN,Q1,INDIA,NER,AS,2021,0.900980146,
URBAN,Q1,INDIA,NR,JK,2021,0.577344296,
URBAN,Q2,INDIA,NER,AS,2021,0.925159112,
URBAN,Q2,INDIA,NR,JK,2021,0.519171613,
URBAN,Q3,INDIA,NER,AS,2021,0.928498476,
URBAN,Q3,INDIA,NR,JK,2021,0.449412333,
URBAN,Q4,INDIA,NER,AS,2021,0.918277628,
URBAN,Q4,INDIA,NR,JK,2021,0.350739556,
URBAN,Q5,INDIA,NER,AS,2021,0.846386069,
URBAN,Q5,INDIA,NR,JK,2021,0.193272758,
RURAL,Q1,INDIA,NER,AS,2022,0.773358777,
RURAL,Q1,INDIA,NR,JK,2022,0.53070165,
RURAL,Q2,INDIA,NER,AS,2022,0.822052331,
RURAL,Q2,INDIA,NR,JK,2022,0.566459753,
RURAL,Q3,INDIA,NER,AS,2022,0.850251916,
RURAL,Q3,INDIA,NR,JK,2022,0.571263507,
RURAL,Q4,INDIA,NER,AS,2022,0.875302167,
RURAL,Q4,INDIA,NR,JK,2022,0.561358842,
RURAL,Q5,INDIA,NER,AS,2022,0.911240091,
RURAL,Q5,INDIA,NR,JK,2022,0.460520856,
URBAN,Q1,INDIA,NER,AS,2022,0.905444891,
URBAN,Q1,INDIA,NR,JK,2022,0.573546455,
URBAN,Q2,INDIA,NER,AS,2022,0.926632812,
