ModelGeography,SubGeography1,SubGeography2,Year,IF+EAF+BOF
INDIA,NR,UP,2027,1.361
INDIA,SR,AP,2027,1.739
INDIA,SR,KA,2027,1.03
INDIA,SR,KL,2027,0.37
INDIA,SR,TN,2027,2.26
INDIA,SR,TS,2027,1.664
INDIA,WR,CG,2027,6.516
INDIA,WR,GA,2027,0.463
INDIA,WR,GJ,2027,2.464
INDIA,WR,MH,2027,4.165
INDIA,WR,MP,2027,0.647
INDIA,ER,BR,2028,0.62
INDIA,ER,JH,2028,1.638
INDIA,ER,OD,2028,3.115
INDIA,ER,SK,2028,0
INDIA,ER,WB,2028,4.677
INDIA,NER,AS,2028,0.127
INDIA,NER,NE,2028,0.166
INDIA,NR,DL,2028,0.006
INDIA,NR,HP,2028,1.481
INDIA,NR,HR,2028,0.194
INDIA,NR,JK,2028,0.171
INDIA,NR,PB,2028,3.793
INDIA,NR,RJ,2028,0.727
INDIA,NR,UK,2028,1.161
INDIA,NR,UP,2028,1.402
INDIA,SR,AP,2028,1.79
INDIA,SR,KA,2028,1.061
INDIA,SR,KL,2028,0.38
INDIA,SR,TN,2028,2.328
INDIA,SR,TS,2028,1.715
INDIA,WR,CG,2028,6.711
INDIA,WR,GA,2028,0.477
INDIA,WR,GJ,2028,2.537
INDIA,WR,MH,2028,4.29
INDIA,WR,MP,2028,0.666
INDIA,ER,BR,2029,0.638
INDIA,ER,JH,2029,1.687
INDIA,ER,OD,2029,3.208
INDIA,ER,SK,2029,0
INDIA,ER,WB,2029,4.817
INDIA,NER,AS,2029,0.13
INDIA,NER,NE,2029,0.171
INDIA,NR,DL,2029,0.006
INDIA,NR,HP,2029,1.525
INDIA,NR,HR,2029,0.199
INDIA,NR,JK,2029,0.176
INDIA,NR,PB,2029,3.906
INDIA,NR,RJ,2029,0.749
INDIA,NR,UK,2029,1.195
INDIA,NR,UP,2029,1.444
INDIA,SR,AP,2029,1.844
INDIA,SR,KA,2029,1.093
INDIA,SR,KL,2029,0.392
INDIA,SR,TN,2029,2.398
INDIA,SR,TS,2029,1.766
INDIA,WR,CG,2029,6.912
INDIA,WR,GA,2029,0.491
INDIA,WR,GJ,2029,2.614
INDIA,WR,MH,2029,4.418
INDIA,WR,MP,2029,0.687
INDIA,ER,BR,2030,0.657
INDIA,ER,JH,2030,1.738
INDIA,ER,OD,2030,3.304
INDIA,ER,SK,2030,0
INDIA,ER,WB,2030,4.962
INDIA,NER,AS,2030,0.134
INDIA,NER,NE,2030,0.176
INDIA,NR,DL,2030,0.006
INDIA,NR,HP,2030,1.571
INDIA,NR,HR,2030,0.204
INDIA,NR,JK,2030,0.182
INDIA,NR,PB,2030,4.024
INDIA,NR,RJ,2030,0.772
INDIA,NR,UK,2030,1.232
INDIA,NR,UP,2030,1.487
INDIA,SR,AP,2030,1.899
INDIA,SR,KA,2030,1.125
INDIA,SR,KL,2030,0.404
INDIA,SR,TN,2030,2.47
INDIA,SR,TS,2030,1.818
INDIA,WR,CG,2030,7.12
INDIA,WR,GA,2030,0.505
INDIA,WR,GJ,2030,2.692
INDIA,WR,MH,2030,4.551
INDIA,WR,MP,2030,0.707
INDIA,ER,BR,2031,0.677
INDIA,ER,JH,2031,1.79
