Year,AnnualCarrierCost
2021,20364122.563207313
2022,22029981.801905084
2023,23541072.726307552
2024,24832137.62812387
2025,26155310.78786984
2026,27468111.646695305
2027,28870788.233545907
2028,30347881.988622133
2029,32125521.17014108
2030,33915236.70784469
2031,35900057.06304023
