EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,DomPECCostInBT_BA
STEAM_COAL,2029,,,,INDIA,NR,259073.90871924514
STEAM_COAL,2029,,,,INDIA,SR,342256.0008385104
STEAM_COAL,2029,,,,INDIA,NER,5692.880490734538
STEAM_COAL,2030,,,,INDIA,ER,940399.2509615797
STEAM_COAL,2030,,,,INDIA,WR,1232143.7194078527
STEAM_COAL,2030,,,,INDIA,NR,306113.26047105715
STEAM_COAL,2030,,,,INDIA,SR,355328.41955082637
STEAM_COAL,2030,,,,INDIA,NER,5973.247559793438
STEAM_COAL,2031,,,,INDIA,ER,953139.7270670914
STEAM_COAL,2031,,,,INDIA,WR,1277077.9819330885
STEAM_COAL,2031,,,,INDIA,NR,361246.3403094215
STEAM_COAL,2031,,,,INDIA,SR,368947.0640661943
STEAM_COAL,2031,,,,INDIA,NER,7711.524228584041
