EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,ImpPECCostInBT_BA
BIOGAS,2030,,,,INDIA,,0.0
BIOGAS,2031,,,,INDIA,,0.0
BIOMASS,2021,,,,INDIA,,0.0
BIOMASS,2022,,,,INDIA,,0.0
BIOMASS,2023,,,,INDIA,,0.0
BIOMASS,2024,,,,INDIA,,0.0
BIOMASS,2025,,,,INDIA,,0.0
BIOMASS,2026,,,,INDIA,,0.0
BIOMASS,2027,,,,INDIA,,0.0
BIOMASS,2028,,,,INDIA,,0.0
BIOMASS,2029,,,,INDIA,,0.0
BIOMASS,2030,,,,INDIA,,0.0
BIOMASS,2031,,,,INDIA,,0.0
CRUDE,2021,,,,INDIA,,3309899.770908488
CRUDE,2022,,,,INDIA,,3830947.2038182206
CRUDE,2023,,,,INDIA,,4584429.500632717
CRUDE,2024,,,,INDIA,,5039132.782308299
CRUDE,2025,,,,INDIA,,5537751.649574963
CRUDE,2026,,,,INDIA,,6062499.598005528
CRUDE,2027,,,,INDIA,,6626171.692287111
CRUDE,2028,,,,INDIA,,7235707.94278477
CRUDE,2029,,,,INDIA,,7893066.256094452
CRUDE,2030,,,,INDIA,,8601958.544615658
CRUDE,2031,,,,INDIA,,9364330.41614677
