Year,AnnualECTCost
2021,4851818.785319414
2022,5056143.676190249
2023,5348613.182424517
2024,5566867.616947035
2025,5892418.597592283
2026,6096154.683179983
2027,6187525.016574508
2028,6413684.363198983
2029,6692428.612627032
2030,6923308.601842353
2031,7088994.653092244
