Year,AnnualCost
2021,25255386.271636087
2022,27125570.401204694
2023,28929130.83184143
2024,30450382.925655264
2025,32105073.444783986
2026,33622565.00979515
2027,35116611.93004028
2028,36819865.03174098
2029,38906682.75996402
2030,40986595.138895266
2031,43137101.545340694
