InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,ConvEff
2021,RF_HSD,2027,INDIA,,0.98
2022,RF_HSD,2027,INDIA,,0.98
2023,RF_HSD,2027,INDIA,,0.98
2024,RF_HSD,2027,INDIA,,0.98
2025,RF_HSD,2027,INDIA,,0.98
2026,RF_HSD,2027,INDIA,,0.98
2027,RF_HSD,2027,INDIA,,0.98
2021,RF_HSD,2028,INDIA,,0.98
2022,RF_HSD,2028,INDIA,,0.98
2023,RF_HSD,2028,INDIA,,0.98
2024,RF_HSD,2028,INDIA,,0.98
2025,RF_HSD,2028,INDIA,,0.98
2026,RF_HSD,2028,INDIA,,0.98
2027,RF_HSD,2028,INDIA,,0.98
2028,RF_HSD,2028,INDIA,,0.98
2021,RF_HSD,2029,INDIA,,0.98
2022,RF_HSD,2029,INDIA,,0.98
2023,RF_HSD,2029,INDIA,,0.98
2024,RF_HSD,2029,INDIA,,0.98
2025,RF_HSD,2029,INDIA,,0.98
2026,RF_HSD,2029,INDIA,,0.98
2027,RF_HSD,2029,INDIA,,0.98
2028,RF_HSD,2029,INDIA,,0.98
2029,RF_HSD,2029,INDIA,,0.98
2021,RF_HSD,2030,INDIA,,0.98
2022,RF_HSD,2030,INDIA,,0.98
2023,RF_HSD,2030,INDIA,,0.98
2024,RF_HSD,2030,INDIA,,0.98
2025,RF_HSD,2030,INDIA,,0.98
2026,RF_HSD,2030,INDIA,,0.98
2027,RF_HSD,2030,INDIA,,0.98
2028,RF_HSD,2030,INDIA,,0.98
2029,RF_HSD,2030,INDIA,,0.98
2030,RF_HSD,2030,INDIA,,0.98
2021,RF_HSD,2031,INDIA,,0.98
2022,RF_HSD,2031,INDIA,,0.98
2023,RF_HSD,2031,INDIA,,0.98
2024,RF_HSD,2031,INDIA,,0.98
2025,RF_HSD,2031,INDIA,,0.98
2026,RF_HSD,2031,INDIA,,0.98
2027,RF_HSD,2031,INDIA,,0.98
2028,RF_HSD,2031,INDIA,,0.98
2029,RF_HSD,2031,INDIA,,0.98
2030,RF_HSD,2031,INDIA,,0.98
2031,RF_HSD,2031,INDIA,,0.98
2020,RF_ATF,2021,INDIA,,0.98
2020,RF_ATF,2022,INDIA,,0.98
2020,RF_ATF,2023,INDIA,,0.98
2020,RF_ATF,2024,INDIA,,0.98
2020,RF_ATF,2025,INDIA,,0.98
2020,RF_ATF,2026,INDIA,,0.98
2020,RF_ATF,2027,INDIA,,0.98
2020,RF_ATF,2028,INDIA,,0.98
2020,RF_ATF,2029,INDIA,,0.98
2020,RF_ATF,2030,INDIA,,0.98
2020,RF_ATF,2031,INDIA,,0.98
2021,RF_ATF,2021,INDIA,,0.98
2021,RF_ATF,2022,INDIA,,0.98
2022,RF_ATF,2022,INDIA,,0.98
2021,RF_ATF,2023,INDIA,,0.98
2022,RF_ATF,2023,INDIA,,0.98
2023,RF_ATF,2023,INDIA,,0.98
2021,RF_ATF,2024,INDIA,,0.98
2022,RF_ATF,2024,INDIA,,0.98
2023,RF_ATF,2024,INDIA,,0.98
2024,RF_ATF,2024,INDIA,,0.98
2021,RF_ATF,2025,INDIA,,0.98
2022,RF_ATF,2025,INDIA,,0.98
2023,RF_ATF,2025,INDIA,,0.98
2024,RF_ATF,2025,INDIA,,0.98
2025,RF_ATF,2025,INDIA,,0.98
2021,RF_ATF,2026,INDIA,,0.98
2022,RF_ATF,2026,INDIA,,0.98
2023,RF_ATF,2026,INDIA,,0.98
2024,RF_ATF,2026,INDIA,,0.98
2025,RF_ATF,2026,INDIA,,0.98
2026,RF_ATF,2026,INDIA,,0.98
2021,RF_ATF,2027,INDIA,,0.98
2022,RF_ATF,2027,INDIA,,0.98
2023,RF_ATF,2027,INDIA,,0.98
2024,RF_ATF,2027,INDIA,,0.98
2025,RF_ATF,2027,INDIA,,0.98
2026,RF_ATF,2027,INDIA,,0.98
2027,RF_ATF,2027,INDIA,,0.98
2021,RF_ATF,2028,INDIA,,0.98
2022,RF_ATF,2028,INDIA,,0.98
2023,RF_ATF,2028,INDIA,,0.98
2024,RF_ATF,2028,INDIA,,0.98
2025,RF_ATF,2028,INDIA,,0.98
2026,RF_ATF,2028,INDIA,,0.98
2027,RF_ATF,2028,INDIA,,0.98
2028,RF_ATF,2028,INDIA,,0.98
2021,RF_ATF,2029,INDIA,,0.98
2022,RF_ATF,2029,INDIA,,0.98
2023,RF_ATF,2029,INDIA,,0.98
2024,RF_ATF,2029,INDIA,,0.98
2025,RF_ATF,2029,INDIA,,0.98
2026,RF_ATF,2029,INDIA,,0.98
2027,RF_ATF,2029,INDIA,,0.98
2028,RF_ATF,2029,INDIA,,0.98
2029,RF_ATF,2029,INDIA,,0.98
2021,RF_ATF,2030,INDIA,,0.98
2022,RF_ATF,2030,INDIA,,0.98
2023,RF_ATF,2030,INDIA,,0.98
2024,RF_ATF,2030,INDIA,,0.98
2025,RF_ATF,2030,INDIA,,0.98
2026,RF_ATF,2030,INDIA,,0.98
2027,RF_ATF,2030,INDIA,,0.98
2028,RF_ATF,2030,INDIA,,0.98
2029,RF_ATF,2030,INDIA,,0.98
2030,RF_ATF,2030,INDIA,,0.98
2021,RF_ATF,2031,INDIA,,0.98
2022,RF_ATF,2031,INDIA,,0.98
2023,RF_ATF,2031,INDIA,,0.98
2024,RF_ATF,2031,INDIA,,0.98
2025,RF_ATF,2031,INDIA,,0.98
2026,RF_ATF,2031,INDIA,,0.98
2027,RF_ATF,2031,INDIA,,0.98
2028,RF_ATF,2031,INDIA,,0.98
2029,RF_ATF,2031,INDIA,,0.98
2030,RF_ATF,2031,INDIA,,0.98
2031,RF_ATF,2031,INDIA,,0.98
2020,RF_OTHERPP,2021,INDIA,,0.98
2020,RF_OTHERPP,2022,INDIA,,0.98
2020,RF_OTHERPP,2023,INDIA,,0.98
