ModelGeography,EnergyService,EfficiencyLevelName,Year,ServiceTech,EnergyCarrier,SpecificEnergyConsumption
INDIA,ALUMINIUM,AVERAGE,2022,PRIMARY_Norm,THERMAL_COAL,27.69390693
INDIA,ALUMINIUM,AVERAGE,2022,PRIMARY_INERT,THERMAL_COAL,27.69390693
INDIA,ALUMINIUM,AVERAGE,2023,PRIMARY_Norm,THERMAL_COAL,27.43821929
INDIA,ALUMINIUM,AVERAGE,2023,PRIMARY_INERT,THERMAL_COAL,27.43821929
INDIA,ALUMINIUM,AVERAGE,2024,PRIMARY_Norm,THERMAL_COAL,27.18489231
INDIA,ALUMINIUM,AVERAGE,2024,PRIMARY_INERT,THERMAL_COAL,27.18489231
INDIA,ALUMINIUM,AVERAGE,2025,PRIMARY_Norm,THERMAL_COAL,26.9339042
INDIA,ALUMINIUM,AVERAGE,2025,PRIMARY_INERT,THERMAL_COAL,26.9339042
INDIA,ALUMINIUM,AVERAGE,2026,PRIMARY_Norm,THERMAL_COAL,26.68523338
INDIA,ALUMINIUM,AVERAGE,2026,PRIMARY_INERT,THERMAL_COAL,26.68523338
INDIA,ALUMINIUM,AVERAGE,2027,PRIMARY_Norm,THERMAL_COAL,26.43885844
INDIA,ALUMINIUM,AVERAGE,2027,PRIMARY_INERT,THERMAL_COAL,26.43885844
INDIA,ALUMINIUM,AVERAGE,2028,PRIMARY_Norm,THERMAL_COAL,26.1947582
INDIA,ALUMINIUM,AVERAGE,2028,PRIMARY_INERT,THERMAL_COAL,26.1947582
INDIA,ALUMINIUM,AVERAGE,2029,PRIMARY_Norm,THERMAL_COAL,25.95291164
INDIA,ALUMINIUM,AVERAGE,2029,PRIMARY_INERT,THERMAL_COAL,25.95291164
INDIA,ALUMINIUM,AVERAGE,2030,PRIMARY_Norm,THERMAL_COAL,25.49902047
INDIA,ALUMINIUM,AVERAGE,2030,PRIMARY_INERT,THERMAL_COAL,25.49902047
INDIA,ALUMINIUM,AVERAGE,2031,PRIMARY_Norm,THERMAL_COAL,25.05129827
INDIA,ALUMINIUM,AVERAGE,2031,PRIMARY_INERT,THERMAL_COAL,25.05129827
INDIA,ALUMINIUM,AVERAGE,2032,PRIMARY_Norm,THERMAL_COAL,24.60966979
INDIA,ALUMINIUM,AVERAGE,2032,PRIMARY_INERT,THERMAL_COAL,24.60966979
INDIA,ALUMINIUM,AVERAGE,2033,PRIMARY_Norm,THERMAL_COAL,24.1740607
INDIA,ALUMINIUM,AVERAGE,2033,PRIMARY_INERT,THERMAL_COAL,24.1740607
INDIA,ALUMINIUM,AVERAGE,2034,PRIMARY_Norm,THERMAL_COAL,23.74439747
INDIA,ALUMINIUM,AVERAGE,2034,PRIMARY_INERT,THERMAL_COAL,23.74439747
INDIA,ALUMINIUM,AVERAGE,2035,PRIMARY_Norm,THERMAL_COAL,23.32060746
INDIA,ALUMINIUM,AVERAGE,2035,PRIMARY_INERT,THERMAL_COAL,23.32060746
INDIA,ALUMINIUM,AVERAGE,2036,PRIMARY_Norm,THERMAL_COAL,22.90261883
INDIA,ALUMINIUM,AVERAGE,2036,PRIMARY_INERT,THERMAL_COAL,22.90261883
INDIA,ALUMINIUM,AVERAGE,2037,PRIMARY_Norm,THERMAL_COAL,22.49036059
INDIA,ALUMINIUM,AVERAGE,2037,PRIMARY_INERT,THERMAL_COAL,22.49036059
INDIA,ALUMINIUM,AVERAGE,2038,PRIMARY_Norm,THERMAL_COAL,22.08376255
INDIA,ALUMINIUM,AVERAGE,2038,PRIMARY_INERT,THERMAL_COAL,22.08376255
INDIA,ALUMINIUM,AVERAGE,2039,PRIMARY_Norm,THERMAL_COAL,21.68275535
INDIA,ALUMINIUM,AVERAGE,2039,PRIMARY_INERT,THERMAL_COAL,21.68275535
INDIA,ALUMINIUM,AVERAGE,2040,PRIMARY_Norm,THERMAL_COAL,21.28727039
INDIA,ALUMINIUM,AVERAGE,2040,PRIMARY_INERT,THERMAL_COAL,21.28727039
INDIA,ALUMINIUM,AVERAGE,2041,PRIMARY_Norm,THERMAL_COAL,20.8972399
INDIA,ALUMINIUM,AVERAGE,2041,PRIMARY_INERT,THERMAL_COAL,20.8972399
INDIA,ALUMINIUM,AVERAGE,2022,PRIMARY_Norm,NATGAS,2.77E-10
INDIA,ALUMINIUM,AVERAGE,2022,PRIMARY_INERT,NATGAS,2.77E-10
INDIA,ALUMINIUM,AVERAGE,2023,PRIMARY_Norm,NATGAS,2.74E-10
INDIA,ALUMINIUM,AVERAGE,2023,PRIMARY_INERT,NATGAS,2.74E-10
INDIA,ALUMINIUM,AVERAGE,2024,PRIMARY_Norm,NATGAS,2.72E-10
INDIA,ALUMINIUM,AVERAGE,2024,PRIMARY_INERT,NATGAS,2.72E-10
INDIA,ALUMINIUM,AVERAGE,2025,PRIMARY_Norm,NATGAS,2.69E-10
INDIA,ALUMINIUM,AVERAGE,2025,PRIMARY_INERT,NATGAS,2.69E-10
INDIA,ALUMINIUM,AVERAGE,2026,PRIMARY_Norm,NATGAS,2.67E-10
INDIA,ALUMINIUM,AVERAGE,2026,PRIMARY_INERT,NATGAS,2.67E-10
INDIA,ALUMINIUM,AVERAGE,2027,PRIMARY_Norm,NATGAS,2.64E-10
INDIA,ALUMINIUM,AVERAGE,2027,PRIMARY_INERT,NATGAS,2.64E-10
INDIA,ALUMINIUM,AVERAGE,2028,PRIMARY_Norm,NATGAS,2.62E-10
INDIA,ALUMINIUM,AVERAGE,2028,PRIMARY_INERT,NATGAS,2.62E-10
INDIA,ALUMINIUM,AVERAGE,2029,PRIMARY_Norm,NATGAS,2.60E-10
INDIA,ALUMINIUM,AVERAGE,2029,PRIMARY_INERT,NATGAS,2.60E-10
INDIA,ALUMINIUM,AVERAGE,2030,PRIMARY_Norm,NATGAS,0.214277483
INDIA,ALUMINIUM,AVERAGE,2030,PRIMARY_INERT,NATGAS,0.214277483
INDIA,ALUMINIUM,AVERAGE,2031,PRIMARY_Norm,NATGAS,0.424598276
INDIA,ALUMINIUM,AVERAGE,2031,PRIMARY_INERT,NATGAS,0.424598276
