DemandSector,EnergyService,ServiceTechCategory,ConsumerGranularity,GeographicGranularity,TimeGranularity
D_IND,STEEL,BOF,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_IND,STEEL,EAF,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_IND,STEEL,IF,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_IND,ALUMINIUM,PRIMARY,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_IND,ALUMINIUM,SECONDARY,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_IND,CEMENT,OPC,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_IND,CEMENT,PPC,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_IND,CEMENT,PSC,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_IND,CEMENT,CC,CONSUMERALL,SUBGEOGRAPHY2,YEAR
D_IND,CEMENT,LC3,CONSUMERALL,SUBGEOGRAPHY2,YEAR
