Year,ModelGeography,SubGeography1,ConsumerType1,EnergyDemand
2021,INDIA,ER,ALL,1635.9484880333712
2021,INDIA,WR,ALL,1538.5911068782775
2021,INDIA,NR,ALL,442.3802889378056
2021,INDIA,SR,ALL,477.9781206720803
2021,INDIA,NER,ALL,9.242469309843653
2022,INDIA,ER,ALL,1716.1336688540691
2022,INDIA,WR,ALL,1630.993270582598
2022,INDIA,NR,ALL,467.0763835782152
2022,INDIA,SR,ALL,506.31967047492924
2022,INDIA,NER,ALL,9.775517950048645
2023,INDIA,ER,ALL,1773.909977163163
2023,INDIA,WR,ALL,1703.6206659553434
2023,INDIA,NR,ALL,485.9137631441268
2023,INDIA,SR,ALL,528.448323523091
2023,INDIA,NER,ALL,10.18867906509154
2024,INDIA,ER,ALL,1832.3171224320247
2024,INDIA,WR,ALL,1778.3368327014662
2024,INDIA,NR,ALL,505.1534417993565
2024,INDIA,SR,ALL,551.1463585034898
2024,INDIA,NER,ALL,10.613115005929698
2025,INDIA,ER,ALL,1891.1965253750184
2025,INDIA,WR,ALL,1855.0427125372678
2025,INDIA,NR,ALL,524.7573562079256
2025,INDIA,SR,ALL,574.3759380772686
2025,INDIA,NER,ALL,11.048248406189389
2026,INDIA,ER,ALL,1951.1033224441815
2026,INDIA,WR,ALL,1934.3465169034341
2026,INDIA,NR,ALL,544.8865094349525
2026,INDIA,SR,ALL,598.3176831348239
2026,INDIA,NER,ALL,11.497712326509676
2027,INDIA,ER,ALL,2011.7852969387259
2027,INDIA,WR,ALL,2016.0676240976543
2027,INDIA,NR,ALL,565.4781798123404
2027,INDIA,SR,ALL,622.9075134069468
2027,INDIA,NER,ALL,11.960445293444776
2028,INDIA,ER,ALL,2074.254262777783
2028,INDIA,WR,ALL,2101.3057245616837
2028,INDIA,NR,ALL,586.8269722018771
2028,INDIA,SR,ALL,648.4760790695688
2028,INDIA,NER,ALL,12.442975325734647
2029,INDIA,ER,ALL,2138.5589564750903
2029,INDIA,WR,ALL,2190.2149658843355
2029,INDIA,NR,ALL,608.9597447594667
2029,INDIA,SR,ALL,675.0607269596863
2029,INDIA,NER,ALL,12.94621059399844
2030,INDIA,ER,ALL,2204.7492926494406
2030,INDIA,WR,ALL,2282.9563137947684
2030,INDIA,NR,ALL,631.9042614447845
2030,INDIA,SR,ALL,702.7001491456288
2030,INDIA,NER,ALL,13.471105312942544
2031,INDIA,ER,ALL,2272.87638897699
2031,INDIA,WR,ALL,2379.6978491665045
2031,INDIA,NR,ALL,655.6892204324741
2031,INDIA,SR,ALL,731.4344274599684
2031,INDIA,NER,ALL,14.018662344584383
