DemandSector,Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,TotalNumInstances,EfficiencyLevelName
D_RES,2021,INDIA,ER,BR,RURAL,Q1,31030.29094285241,AVERAGE
D_RES,2022,INDIA,ER,BR,RURAL,Q1,33661.57514743589,AVERAGE
D_RES,2023,INDIA,ER,BR,RURAL,Q1,35228.49455672296,AVERAGE
D_RES,2024,INDIA,ER,BR,RURAL,Q1,36710.77030635906,AVERAGE
D_RES,2025,INDIA,ER,BR,RURAL,Q1,38060.861626539976,AVERAGE
D_RES,2026,INDIA,ER,BR,RURAL,Q1,39239.76680068036,AVERAGE
D_RES,2027,INDIA,ER,BR,RURAL,Q1,40172.00452732332,AVERAGE
D_RES,2028,INDIA,ER,BR,RURAL,Q1,40798.88739024973,AVERAGE
D_RES,2029,INDIA,ER,BR,RURAL,Q1,41011.69130943051,AVERAGE
D_RES,2030,INDIA,ER,BR,RURAL,Q1,40672.45938669246,AVERAGE
D_RES,2031,INDIA,ER,BR,RURAL,Q1,39606.48546605001,AVERAGE
D_RES,2021,INDIA,ER,JH,RURAL,Q1,15061.374663311411,AVERAGE
D_RES,2022,INDIA,ER,JH,RURAL,Q1,16714.661229626,AVERAGE
D_RES,2023,INDIA,ER,JH,RURAL,Q1,17786.336320138267,AVERAGE
D_RES,2024,INDIA,ER,JH,RURAL,Q1,18836.101543576377,AVERAGE
D_RES,2025,INDIA,ER,JH,RURAL,Q1,19834.76629952759,AVERAGE
D_RES,2026,INDIA,ER,JH,RURAL,Q1,20759.22740949457,AVERAGE
D_RES,2027,INDIA,ER,JH,RURAL,Q1,21560.632051674318,AVERAGE
D_RES,2028,INDIA,ER,JH,RURAL,Q1,22202.222585278425,AVERAGE
D_RES,2029,INDIA,ER,JH,RURAL,Q1,22610.84126217272,AVERAGE
D_RES,2030,INDIA,ER,JH,RURAL,Q1,22690.77360508683,AVERAGE
D_RES,2031,INDIA,ER,JH,RURAL,Q1,22317.279657697192,AVERAGE
D_RES,2021,INDIA,ER,OD,RURAL,Q1,63133.38795971009,AVERAGE
D_RES,2022,INDIA,ER,OD,RURAL,Q1,71349.4963088,AVERAGE
D_RES,2023,INDIA,ER,OD,RURAL,Q1,77864.09213578922,AVERAGE
D_RES,2024,INDIA,ER,OD,RURAL,Q1,84403.1815051056,AVERAGE
D_RES,2025,INDIA,ER,OD,RURAL,Q1,90734.68638396256,AVERAGE
D_RES,2026,INDIA,ER,OD,RURAL,Q1,96604.24442787221,AVERAGE
D_RES,2027,INDIA,ER,OD,RURAL,Q1,101551.52254617502,AVERAGE
D_RES,2028,INDIA,ER,OD,RURAL,Q1,105072.02939040496,AVERAGE
D_RES,2029,INDIA,ER,OD,RURAL,Q1,106319.69219150876,AVERAGE
D_RES,2030,INDIA,ER,OD,RURAL,Q1,104112.38854384927,AVERAGE
D_RES,2031,INDIA,ER,OD,RURAL,Q1,96809.50791331627,AVERAGE
D_RES,2021,INDIA,ER,WB,RURAL,Q1,7178.477336724617,AVERAGE
D_RES,2022,INDIA,ER,WB,RURAL,Q1,7890.512096086199,AVERAGE
D_RES,2023,INDIA,ER,WB,RURAL,Q1,8378.696242177939,AVERAGE
D_RES,2024,INDIA,ER,WB,RURAL,Q1,8879.759924175944,AVERAGE
D_RES,2025,INDIA,ER,WB,RURAL,Q1,9391.381125363463,AVERAGE
D_RES,2026,INDIA,ER,WB,RURAL,Q1,9918.000950642,AVERAGE
D_RES,2027,INDIA,ER,WB,RURAL,Q1,10456.339879607796,AVERAGE
