EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandEnergy,TotalEnergyDemand
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,WR,195.94151268908448,18026.619167395773
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,NR,189.30200248973466,17415.78422905559
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,SR,149.8272141056268,13784.103697717666
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,NER,7.839323313795321,721.2177448691695
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,ER,46.49640405626272,2836.280647432026
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,WR,114.56340471434262,6988.3676875749
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,NR,93.03587542702711,5675.188401048654
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,SR,97.93781740707675,5974.206861831682
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,NER,2.9129234448776984,177.6883301375396
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,ER,63.8501501951279,3894.859161902802
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,WR,146.31226344113625,8925.048069909311
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NR,121.08569675638591,7386.227502139541
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,SR,126.28657585270031,7703.481127014719
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NER,4.174011213912231,254.6146840486461
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,ER,69.29635921827052,4227.077912314502
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,WR,161.57622055103613,9856.149453613203
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NR,143.50480223096838,8753.79293608907
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,SR,143.6864379772876,8764.872716614544
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NER,5.1200206381565465,312.32125892754937
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,65.65424395558732,4004.9088812908262
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,WR,154.80283176619383,9442.972737737824
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NR,137.0921604788631,8362.621789210649
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,SR,135.6167776451408,8272.623436353588
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NER,4.4199107634259045,269.61455656898016
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,ER,86.78360787286984,5293.80008024506
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,WR,164.9723936405611,10063.316012074227
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NR,158.6603658335356,9678.28231584567
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,SR,142.91163085907985,8717.60948240387
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NER,8.505094626963896,518.8107722447976
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,ER,107.71886240530743,6570.850606723753
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,WR,255.3639274253216,15577.199572944617
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NR,210.30762357245067,12828.765037919491
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,SR,214.5254990849152,13086.055444179827
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NER,7.435231846178942,453.54914261691545
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,ER,50.2807779078017,4625.831567517756
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,WR,127.11910264814088,11694.95744362896
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NR,106.26170388253519,9776.076757193237
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,SR,109.61500488483361,10084.580449404692
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NER,4.250222048844555,391.02042849369906
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,ER,55.46611141561796,5102.882250236852
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,WR,147.47658728403349,13567.84603013108
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NR,113.58101467248112,10449.453349868263
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,SR,124.36772141133207,11441.83036984255
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NER,3.4235972119898808,314.970943503069
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,ER,58.77438739042075,5407.243639918709
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,WR,158.7996059323429,14609.563745775547
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NR,120.10226873814777,11049.408723909595
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,SR,138.7618120933745,12766.086712590453
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NER,3.62863313849325,333.834248741379
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,ER,56.71363927531573,5217.654813329047
