Year,ModelGeography,ConsumerType1,EnergyDemand
2021,INDIA,ALL,909.1606158383502
2022,INDIA,ALL,1012.3906528460573
2023,INDIA,ALL,1094.595019139994
2024,INDIA,ALL,1180.2371780702254
2025,INDIA,ALL,1269.077958282792
2026,INDIA,ALL,1361.7376384421011
2027,INDIA,ALL,1457.875735263361
2028,INDIA,ALL,1558.742632634564
2029,INDIA,ALL,1664.431354101112
2030,INDIA,ALL,1775.0290792979604
2031,INDIA,ALL,1890.6168409427987
