Year,ModelGeography,ConsumerType1,EnergyDemand
2021,INDIA,ALL,111.72331230495016
2022,INDIA,ALL,127.11322093036922
2023,INDIA,ALL,138.99608489046543
2024,INDIA,ALL,150.87774766581103
2025,INDIA,ALL,162.6528761156288
2026,INDIA,ALL,174.33760133491305
2027,INDIA,ALL,185.82983054437457
2028,INDIA,ALL,197.22213525846766
2029,INDIA,ALL,208.46649590820093
2030,INDIA,ALL,219.51995796418555
2031,INDIA,ALL,230.34473643868995
