Year,ModelGeography,ConsumerType1,EnergyDemand
2021,INDIA,ALL,290.4295583325411
2022,INDIA,ALL,294.8666588047839
2023,INDIA,ALL,298.1539587447971
2024,INDIA,ALL,301.4222108354726
2025,INDIA,ALL,304.6658540400061
2026,INDIA,ALL,307.91085593844633
2027,INDIA,ALL,311.14671562209566
2028,INDIA,ALL,314.41658121471204
2029,INDIA,ALL,317.72081008361175
2030,INDIA,ALL,321.0597633568389
2031,INDIA,ALL,324.4338059527952
