ModelGeography,Year,AIR+WATER
INDIA,2016,0.8898486366992
INDIA,2017,0.9130766520004402
INDIA,2018,1.045006714024898
INDIA,2019,1.0798549545699996
INDIA,2020,0.954876219878555
INDIA,2021,0.566368983874
INDIA,2022,0.7890066045829999
INDIA,2023,0.8030422094023921
INDIA,2024,0.8173274929969706
INDIA,2025,0.8318668968918125
INDIA,2026,0.846664941622095
INDIA,2027,0.8617262281386028
INDIA,2028,0.8770554392382375
INDIA,2029,0.8926573410199752
INDIA,2030,0.9085367843667232
INDIA,2031,0.924698706453538
INDIA,2032,0.9411481322826721
INDIA,2033,0.9578901762459291
INDIA,2034,0.9749300437148097
INDIA,2035,0.9922730326589465
INDIA,2036,1.0099245352933275
INDIA,2037,1.0278900397548232
INDIA,2038,1.0461751318085366
INDIA,2039,1.0647854965845078
INDIA,2040,1.0837269203453128
INDIA,2041,1.1030052922851052
