EnergyService,EnergyCarrier,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,BaseYearDemand
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S02May,ALLDAYS,H19,1.774564486
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S02May,ALLDAYS,H20,1.762256196
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S02May,ALLDAYS,H21,1.368330851
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S02May,ALLDAYS,H22,1.414929691
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S02May,ALLDAYS,H23,1.521462329
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H00,1.9144436
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H01,1.937815524
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H02,1.839821286
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H03,1.761642645
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H04,1.839712272
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H05,1.830762961
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H06,1.314586881
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H07,1.259070206
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H08,2.001562832
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H09,2.638355737
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H10,2.845837203
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H11,2.923009327
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H12,2.943416643
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H13,2.903029459
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H14,2.911700732
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H15,3.045706416
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H16,2.64289198
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H17,2.589940887
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H18,2.580038611
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H19,2.2779473
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H20,2.279863217
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H21,1.886124964
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H22,1.883008061
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S03Jun,ALLDAYS,H23,2.041991514
IND_OTHERS,ELECTRICITY,INDIA,SR,AP,2023,S04Jul,ALLDAYS,H00,2.445857543
