DemandSector,EnergyService,InputType
D_IND,STEEL,BOTTOMUP
D_IND,ALUMINIUM,BOTTOMUP
D_IND,CEMENT,BOTTOMUP
D_IND,IND_OTHERS,GDPELASTICITY
D_IND,GH2_OTHER_USES,EXOGENOUS
