Year,ModelGeography,SubGeography1,SubGeography2,Population,NumHouseholds
2021,INDIA,ER,BR,116390632,22858717
2022,INDIA,ER,BR,117842862,23202488
2023,INDIA,ER,BR,119313212,23551346
2024,INDIA,ER,BR,120801907,23905365
2025,INDIA,ER,BR,122309177,24264619
2026,INDIA,ER,BR,123835254,24629184
2027,INDIA,ER,BR,125380372,24999139
2028,INDIA,ER,BR,126944769,25374562
2029,INDIA,ER,BR,128528685,25755531
2030,INDIA,ER,BR,130132364,26142128
2031,INDIA,ER,BR,131756052,26534435
2021,INDIA,ER,JH,36703882,8499612
2022,INDIA,ER,JH,37140275,8683812
2023,INDIA,ER,JH,37581856,8871858
2024,INDIA,ER,JH,38028688,9063835
2025,INDIA,ER,JH,38480833,9259829
2026,INDIA,ER,JH,38938353,9459928
2027,INDIA,ER,JH,39401313,9664224
2028,INDIA,ER,JH,39869778,9872810
2029,INDIA,ER,JH,40343812,10085781
2030,INDIA,ER,JH,40823483,10303237
2031,INDIA,ER,JH,41308856,10525279
2021,INDIA,ER,OD,44809582,12897833
2022,INDIA,ER,OD,45133136,13218829
2023,INDIA,ER,OD,45459027,13548076
2024,INDIA,ER,OD,45787271,13885801
2025,INDIA,ER,OD,46117885,14232238
2026,INDIA,ER,OD,46450886,14587630
2027,INDIA,ER,OD,46786292,14952226
2028,INDIA,ER,OD,47124119,15326282
2029,INDIA,ER,OD,47464387,15710064
2030,INDIA,ER,OD,47807111,16103845
2031,INDIA,ER,OD,48152309,16507908
2021,INDIA,ER,WB,96978208,27244437
2022,INDIA,ER,WB,97630528,27785451
2023,INDIA,ER,WB,98287237,28333920
2024,INDIA,ER,WB,98948362,28889773
2025,INDIA,ER,WB,99613935,29452930
2026,INDIA,ER,WB,100283984,30023296
2027,INDIA,ER,WB,100958541,30600764
2028,INDIA,ER,WB,101637636,31185213
2029,INDIA,ER,WB,102321298,31776504
2030,INDIA,ER,WB,103009558,32374483
2031,INDIA,ER,WB,103702449,32978981
2021,INDIA,NER,AS,34295912,7494746
2022,INDIA,NER,AS,34658332,7615270
2023,INDIA,NER,AS,35024583,7737275
2024,INDIA,NER,AS,35394703,7860772
2025,INDIA,NER,AS,35768736,7985774
2026,INDIA,NER,AS,36146720,8112292
2027,INDIA,NER,AS,36528698,8240340
2028,INDIA,NER,AS,36914713,8369931
2029,INDIA,NER,AS,37304808,8501075
2030,INDIA,NER,AS,37699024,8633787
2031,INDIA,NER,AS,38097407,8768079
2021,INDIA,NER,NE,15927619,3583418
2022,INDIA,NER,NE,16071506,3627210
2023,INDIA,NER,NE,16216961,3671532
2024,INDIA,NER,NE,16364003,3716389
2025,INDIA,NER,NE,16512653,3761788
2026,INDIA,NER,NE,16662932,3807734
2027,INDIA,NER,NE,16814860,3854231
2028,INDIA,NER,NE,16968459,3901285
2029,INDIA,NER,NE,17123751,3948901
2030,INDIA,NER,NE,17280757,3997085
2031,INDIA,NER,NE,17439499,4045840
2021,INDIA,NR,DL,20867774,5661316
2022,INDIA,NR,DL,21376623,5844752
2023,INDIA,NR,DL,21897880,6033710
2024,INDIA,NR,DL,22431848,6228343
2025,INDIA,NR,DL,22978837,6428808
2026,INDIA,NR,DL,23539163,6635265
2027,INDIA,NR,DL,24113153,6847880
2028,INDIA,NR,DL,24701139,7066823
2029,INDIA,NR,DL,25303463,7292267
2030,INDIA,NR,DL,25920474,7524391
2031,INDIA,NR,DL,26552531,7763377
2021,INDIA,NR,HP,7416266,1879830
2022,INDIA,NR,HP,7475961,1910414
2023,INDIA,NR,HP,7536138,1941477
2024,INDIA,NR,HP,7596799,1973023
2025,INDIA,NR,HP,7657949,2005060
2026,INDIA,NR,HP,7719590,2037592
2027,INDIA,NR,HP,7781728,2070626
2028,INDIA,NR,HP,7844366,2104168
2029,INDIA,NR,HP,7907508,2138224
2030,INDIA,NR,HP,7971158,2172799
2031,INDIA,NR,HP,8035321,2207899
2021,INDIA,NR,HR,29152589,6524900
2022,INDIA,NR,HR,29602365,6660027
2023,INDIA,NR,HR,30059080,6797855
2024,INDIA,NR,HR,30522841,6938439
2025,INDIA,NR,HR,30993756,7081837
2026,INDIA,NR,HR,31471937,7228107
2027,INDIA,NR,HR,31957497,7377310
2028,INDIA,NR,HR,32450546,7529506
2029,INDIA,NR,HR,32951204,7684760
2030,INDIA,NR,HR,33459586,7843133
2031,INDIA,NR,HR,33975811,8004693
2021,INDIA,NR,JK,13568804,2897226
2022,INDIA,NR,JK,13693064,2951091
2023,INDIA,NR,JK,13818462,3005819
2024,INDIA,NR,JK,13945008,3061423
2025,INDIA,NR,JK,14072713,3117913
2026,INDIA,NR,JK,14201587,3175300
2027,INDIA,NR,JK,14331641,3233596
2028,INDIA,NR,JK,14462887,3292813
2029,INDIA,NR,JK,14595335,3352962
2030,INDIA,NR,JK,14728996,3414055
2031,INDIA,NR,JK,14863881,3476103
2021,INDIA,NR,PB,30255012,7463378
2022,INDIA,NR,PB,30553069,7625168
2023,INDIA,NR,PB,30854061,7790841
2024,INDIA,NR,PB,31158020,7960511
