Year,ModelGeography,ConsumerType1,EnergyDemand
2021,INDIA,ALL,89.56494587671827
2022,INDIA,ALL,84.28962104020776
2023,INDIA,ALL,80.03424003863789
2024,INDIA,ALL,75.44406709236412
2025,INDIA,ALL,71.19629532376301
2026,INDIA,ALL,67.22870497854673
2027,INDIA,ALL,63.53214564512765
2028,INDIA,ALL,60.038841021988475
2029,INDIA,ALL,56.737615176215535
2030,INDIA,ALL,53.61790669663774
2031,INDIA,ALL,50.669734864592364
