Year,ModelGeography,EnergyDemand
2021,INDIA,426.8304946721203
2022,INDIA,474.9152213128917
2023,INDIA,517.5637407679487
2024,INDIA,566.6684943718916
2025,INDIA,615.7541467020441
2026,INDIA,664.8504893013675
2027,INDIA,713.4937012223681
2028,INDIA,762.0417011892458
2029,INDIA,810.2634422514369
2030,INDIA,857.9475149690712
2031,INDIA,904.9034797030674
