Year,ModelGeography,ConsumerType1,EnergyDemand
2021,INDIA,ALL,1195.873892996986
2022,INDIA,ALL,1306.8796898962232
2023,INDIA,ALL,1407.2202233974035
2024,INDIA,ALL,1525.6658562091598
2025,INDIA,ALL,1647.3199094484069
2026,INDIA,ALL,1772.7800483714009
2027,INDIA,ALL,1901.3334262494964
2028,INDIA,ALL,2034.3832285634128
2029,INDIA,ALL,2171.760862278825
2030,INDIA,ALL,2313.282413283924
2031,INDIA,ALL,2458.7501053545416
