Year,ModelGeography,EnergyDemand
2021,INDIA,909.1606158383502
2022,INDIA,985.2248536648098
2023,INDIA,1054.4644532874513
2024,INDIA,1136.9667584278573
2025,INDIA,1222.5504154884447
2026,INDIA,1311.8129622255228
2027,INDIA,1404.4263981440497
2028,INDIA,1501.5952649794745
2029,INDIA,1603.4091760799397
2030,INDIA,1709.9521145516262
2031,INDIA,1821.302142926056
