Year,ModelGeography,EnergyDemand
2021,INDIA,468.6795147
2022,INDIA,478.8810855
2023,INDIA,489.30471
2024,INDIA,499.9552217
2025,INDIA,510.837559
2026,INDIA,521.9567681
2027,INDIA,533.3180048
2028,INDIA,544.9265373
2029,INDIA,556.7877483
2030,INDIA,568.9071379
2031,INDIA,581.2903256
