Year,ModelGeography,SubGeography1,ConsumerType1,EnergyDemand
2021,INDIA,ER,ALL,1635.9484880333712
2021,INDIA,WR,ALL,1538.5911068782775
2021,INDIA,NR,ALL,442.3802889378056
2021,INDIA,SR,ALL,477.9781206720803
2021,INDIA,NER,ALL,9.242469309843653
2022,INDIA,ER,ALL,1691.76444722105
2022,INDIA,WR,ALL,1607.6864179587942
2022,INDIA,NR,ALL,460.41785972774977
2022,INDIA,SR,ALL,499.0874846951944
2022,INDIA,NER,ALL,9.636014121939615
2023,INDIA,ER,ALL,1739.3229778488048
2023,INDIA,WR,ALL,1670.1933849312734
2023,INDIA,NR,ALL,476.4024356887677
2023,INDIA,SR,ALL,518.0840617197451
2023,INDIA,NER,ALL,9.989030966581833
2024,INDIA,ER,ALL,1796.5913234168672
2024,INDIA,WR,ALL,1743.4435220940882
2024,INDIA,NR,ALL,495.26551479861934
2024,INDIA,SR,ALL,540.3369285594732
2024,INDIA,NER,ALL,10.405150046377347
2025,INDIA,ER,ALL,1854.322718954108
2025,INDIA,WR,ALL,1818.6443315541733
2025,INDIA,NR,ALL,514.4857001321355
2025,INDIA,SR,ALL,563.1109149449953
2025,INDIA,NER,ALL,10.831756967556451
2026,INDIA,ER,ALL,1913.0614768744524
2026,INDIA,WR,ALL,1896.3920909421176
2026,INDIA,NR,ALL,534.2208431970137
2026,INDIA,SR,ALL,586.5830994092704
2026,INDIA,NER,ALL,11.272413600899222
2027,INDIA,ER,ALL,1972.5602981814616
2027,INDIA,WR,ALL,1976.509722294638
2027,INDIA,NR,ALL,554.4094499941411
2027,INDIA,SR,ALL,610.6906584493911
2027,INDIA,NER,ALL,11.726079273147446
2028,INDIA,ER,ALL,2033.8112682576248
2028,INDIA,WR,ALL,2060.0753389878887
2028,INDIA,NR,ALL,575.3403588450077
2028,INDIA,SR,ALL,635.7577572333365
2028,INDIA,NER,ALL,12.199154085133015
2029,INDIA,ER,ALL,2096.862174284104
2029,INDIA,WR,ALL,2147.240063918005
2029,INDIA,NR,ALL,597.0399021695633
2029,INDIA,SR,ALL,661.821010299601
2029,INDIA,NER,ALL,12.692528412013983
2030,INDIA,ER,ALL,2161.761957627029
2030,INDIA,WR,ALL,2238.161704133459
2030,INDIA,NR,ALL,619.5353004848293
2030,INDIA,SR,ALL,688.918350699609
2030,INDIA,NER,ALL,13.207137770506597
2031,INDIA,ER,ALL,2228.560738573969
2031,INDIA,WR,ALL,2333.0050435558346
2031,INDIA,NR,ALL,642.8546901663134
2031,INDIA,SR,ALL,717.0890745189909
2031,INDIA,NER,ALL,13.743965372896213
