Year,ModelGeography,EnergyDemand
2021,INDIA,2433.5463688149284
2022,INDIA,2502.5028318067943
2023,INDIA,2562.6753702932338
2024,INDIA,2631.9766763271978
2025,INDIA,2701.151476635894
2026,INDIA,2770.715286366275
2027,INDIA,2840.4156464074504
2028,INDIA,2911.1548574804315
2029,INDIA,2982.930785883692
2030,INDIA,3055.740928345297
2031,INDIA,3129.582415045857
