EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandEnergy,TotalEnergyDemand
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,WR,204.99079177262757,18859.152843081738
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,NR,216.11047256624926,19882.16347609493
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,SR,160.84535238533715,14797.772419451017
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,NER,8.378043204190417,770.7799747855184
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,ER,49.220473083599394,3002.448858099563
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,WR,116.9448905754945,7133.638325105165
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,NR,95.90854199721036,5850.421061829832
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,SR,100.62614698028449,6138.194965797354
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,NER,3.054705448210397,186.3370323408342
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,ER,66.27550520395327,4042.8058174411494
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,WR,149.5308382669489,9121.381134283884
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NR,126.27652110289921,7702.867787276852
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,SR,130.95508616643633,7988.260256152616
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NER,4.63197713827361,282.5506054346902
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,ER,70.83722505312774,4321.070728240792
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,WR,164.23177664602892,10018.138375407763
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NR,148.75266785216928,9073.912738982326
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,SR,147.53661920975455,8999.733771795027
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NER,5.8452115697018,356.5579057518098
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,68.26157089717248,4163.955824727521
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,WR,158.03726136107886,9640.272943025811
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NR,142.78604909661402,8709.948994893455
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,SR,140.133787841393,8548.161058324973
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NER,4.906745027553533,299.31144668076547
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,ER,93.51501492909863,5704.415910675016
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,WR,172.19677429133964,10504.003231771718
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NR,172.09067541790586,10497.531200492258
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,SR,154.61132687736333,9431.290939519164
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NER,9.108585449331121,555.6237124091984
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,ER,111.77157463667169,6818.066052836973
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,WR,259.5386333757971,15831.856635923621
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NR,217.37892265209288,13260.114281777665
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,SR,221.24514311301687,13495.953729894029
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NER,7.803492968579041,476.0130710833215
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,ER,50.352714916939895,4632.44977235847
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,WR,127.12103155879188,11695.134903408853
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NR,106.20945148761277,9771.269536860375
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,SR,109.68760810593167,10091.259945745715
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NER,4.247072646302779,390.73068345985564
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,ER,56.36698626837574,5185.762736690568
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,WR,149.39266081130776,13744.124794640315
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NR,113.97954379220668,10486.118028883015
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,SR,127.85923181285023,11763.04932678222
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NER,3.477080437155398,319.8914002182966
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,ER,61.195569020517304,5629.992349887592
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,WR,162.40229132742533,14941.01080212313
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NR,121.7292153546769,11199.087812630274
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,SR,145.17344401346799,13355.956849239055
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NER,3.791148298811822,348.7856434906876
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,ER,58.353616881050556,5368.532753056651
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,WR,155.52195373109728,14308.01974326095
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NR,116.37842444684051,10706.815049109327
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,SR,137.76853337841203,12674.705070813907
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NER,3.613761069190986,332.46601836557073
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,ER,75.14465347659926,6913.308119847132
