Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,EnergyDemand,SeasonEnergyDemand
2021,SUMMER,ALLDAYS,MID,INDIA,WR,UT,ALL,0.3972168490762634,24.23022779365207
2021,SUMMER,ALLDAYS,MID,INDIA,NR,DL,ALL,4.050056048839774,247.0534189792262
2021,SUMMER,ALLDAYS,MID,INDIA,NR,HR,ALL,2.931714951481883,178.83461204039486
2021,SUMMER,ALLDAYS,MID,INDIA,NR,HP,ALL,0.6482658252888701,39.54421534262108
2021,SUMMER,ALLDAYS,MID,INDIA,NR,JK,ALL,1.4061273851694815,85.77377049533837
2021,SUMMER,ALLDAYS,MID,INDIA,NR,PB,ALL,3.099593051383001,189.07517613436306
2021,SUMMER,ALLDAYS,MID,INDIA,NR,RJ,ALL,3.261298613597821,198.93921542946708
2021,SUMMER,ALLDAYS,MID,INDIA,NR,UP,ALL,5.50953772487554,336.08180121740793
2021,SUMMER,ALLDAYS,MID,INDIA,NR,UK,ALL,0.7871147446934534,48.01399942630066
2021,SUMMER,ALLDAYS,MID,INDIA,SR,AP,ALL,3.472897500732796,211.84674754470055
2021,SUMMER,ALLDAYS,MID,INDIA,SR,KA,ALL,5.144768560701197,313.830882202773
2021,SUMMER,ALLDAYS,MID,INDIA,SR,KL,ALL,2.2055108375986414,134.53616109351714
2021,SUMMER,ALLDAYS,MID,INDIA,SR,TN,ALL,6.531812048779989,398.44053497557934
2021,SUMMER,ALLDAYS,MID,INDIA,SR,TS,ALL,3.447372211757808,210.2897049172263
2021,SUMMER,ALLDAYS,MID,INDIA,NER,AS,ALL,0.79068567714064,48.23182630557904
2021,SUMMER,ALLDAYS,MID,INDIA,NER,NE,ALL,0.564574166279731,34.43902414306359
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,BR,ALL,1.7436585614253115,106.363172246944
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,JH,ALL,0.5787213024472742,35.30199944928373
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,OD,ALL,1.257505683058464,76.70784666656631
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,WB,ALL,4.348321935719423,265.2476380788848
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,CG,ALL,0.8075843372872649,49.26264457452316
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,GJ,ALL,3.3919309343639124,206.90778699619867
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,MP,ALL,4.277822866974494,260.94719488544416
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,MH,ALL,9.80905925645156,598.3526146435452
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,GA,ALL,0.2502707559758129,15.266516114524586
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,UT,ALL,0.3972168490762634,24.23022779365207
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,DL,ALL,4.050056048839774,247.0534189792262
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,HR,ALL,2.931714951481883,178.83461204039486
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,HP,ALL,0.6482658252888701,39.54421534262108
