Year,ModelGeography,EnergyDemand
2021,INDIA,3490.8124739082723
2022,INDIA,3579.9439038931364
2023,INDIA,3659.25582883902
2024,INDIA,3749.275150045014
2025,INDIA,3839.404285541233
2026,INDIA,3930.2432801360333
2027,INDIA,4021.5118300051813
2028,INDIA,4114.254016513496
2029,INDIA,4208.4767663982475
2030,INDIA,4304.18682829729
2031,INDIA,4401.3907794136385
