Year,ModelGeography,EnergyDemand
2021,INDIA,243.6981167089669
2022,INDIA,227.12726936349296
2023,INDIA,213.88949321669324
2024,INDIA,199.7275098772784
2025,INDIA,186.7450983043132
2026,INDIA,174.73075481252633
2027,INDIA,163.63916773620346
2028,INDIA,153.25165421791064
2029,INDIA,143.5235209450231
2030,INDIA,134.41291169822503
2031,INDIA,125.88062714111982
