DemandSector,EnergyService,InputType
D_RES,RES_LIGHT,BOTTOMUP
D_RES,RES_COOL,BOTTOMUP
D_RES,RES_REF,BOTTOMUP
D_RES,RES_COOK,BOTTOMUP
D_RES,RES_OTHER,RESIDUAL
D_IND,IND_ALL,GDPELASTICITY
D_AGRI,AGRI_ALL,EXTRANEOUS
D_TRANS,TRANS_FUEL,GDPELASTICITY
D_TRANS,TRANS_ELEC,EXTRANEOUS
D_OTHER,OTHER_ALL,GDPELASTICITY
