Year,ModelGeography,EnergyDemand
2021,INDIA,243.6981167089669
2022,INDIA,221.2091096065085
2023,INDIA,206.31288092173543
2024,INDIA,192.65255783133296
2025,INDIA,180.13002251410174
2026,INDIA,168.54126338913636
2027,INDIA,157.84257384417748
2028,INDIA,147.82301743609156
2029,INDIA,138.43948405274455
2030,INDIA,129.6516001168953
2031,INDIA,121.42155490439936
